Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\Crack2.csv;
Starttime of export;134223614525160000;mandag 4. mai 2026;11:44:12.516
Endtime of export;134223614717560000;mandag 4. mai 2026;11:44:31.756


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar

0;151.0910367137669;0;56.82546464430677;0;16.528824732200079;0;820.84462749384784;0;5.00015259254738;0;4.9659718619342632;0;62.807092501602227;0;95.706045716727189
10;151.1032441175573;10;56.82546464430677;10;16.553239539780879;10;820.80509215202665;10;5.00015259254738;10;4.968108157597583;10;62.758262886440633;10;95.6572161015656
20;151.11545152134769;20;56.898709067049168;20;16.589861751152075;20;820.80509215202665;20;5.00015259254738;20;4.9693288979766228;20;62.69722586748864;20;95.77929013946958
30;151.0544145023957;30;56.947538682210762;30;16.663106173894469;30;820.84462749384784;30;5.00015259254738;30;4.967497787408063;30;62.78267769402143;30;95.815912350840776
40;151.0544145023957;40;56.776635029145176;40;16.614276558732872;40;820.84462749384784;40;5.00015259254738;40;4.9665822321237831;40;62.78267769402143;40;95.742667928098385
50;151.0544145023957;50;56.776635029145176;50;16.51661732840968;50;820.84462749384784;50;5.00015259254738;50;4.9671926023133031;50;62.69722586748864;50;95.681630909146392
60;151.0910367137669;60;56.801049836725973;60;16.51661732840968;60;820.84462749384784;60;5.00015259254738;60;4.9690237128818628;60;62.721640675069438;60;95.706045716727189
70;151.15207373271889;70;56.82546464430677;70;16.541032135990477;70;820.92369817749022;70;5.00015259254738;70;4.9684133426923429;70;62.794885097811829;70;95.706045716727189
80;151.18869594409011;80;56.88650166325877;80;16.565446943571278;80;820.84462749384784;80;5.00015259254738;80;4.9668874172185431;80;62.746055482650235;80;95.815912350840776
90;151.13986632892849;90;56.813257240516371;90;16.663106173894469;90;820.80509215202665;90;5.00015259254738;90;4.9684133426923429;90;62.636188848536634;90;95.815912350840776
100;151.18869594409011;100;56.813257240516371;100;16.650898770104071;100;820.84462749384784;100;5.00015259254738;100;4.9693288979766228;100;62.611774040955837;100;95.706045716727189
110;151.2863551744133;110;56.801049836725973;110;16.650898770104071;110;820.92369817749022;110;4.9992370372631;110;4.9693288979766228;110;62.709433271279039;110;95.718253120517588
120;151.16428113650929;120;56.691183202612386;120;16.724143192846462;120;820.92369817749022;120;4.99801629688406;120;4.967497787408063;120;62.746055482650235;120;95.730460524307986
130;151.15207373271889;130;56.678975798821988;130;16.760765404217658;130;820.80509215202665;130;4.99710074159978;130;4.9671926023133031;130;62.623981444746235;130;95.681630909146392
140;151.15207373271889;140;56.642353587450792;140;16.663106173894469;140;820.80509215202665;140;4.9961851863155005;140;4.968108157597583;140;62.611774040955837;140;95.510727256080813
150;151.0910367137669;150;56.703390606402785;150;16.638691366313669;150;820.92369817749022;150;4.9952696310312206;150;4.9687185277871029;150;62.709433271279039;150;95.4985198522904
