Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\NedPOPEN-40.csv;
Starttime of export;134223616314660000;mandag 4. mai 2026;11:47:11.466
Endtime of export;134223616690060000;mandag 4. mai 2026;11:47:49.006


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar

0;150.90792565691092;0;73.68388927884763;0;43.458357493819996;0;855;0;5.00015259254738;0;4.9665822321237831;0;127.11569566942352;0;49.8794518875698
10;150.98117007965331;10;73.635059663686036;10;43.470564897610394;10;855;10;5.00015259254738;10;4.9641407513657034;10;127.11569566942352;10;49.8672444837794
20;150.88351084933012;20;73.647267067476434;20;43.580431531723981;20;855;20;5.00015259254738;20;4.9638355662709435;20;127.11569566942352;20;49.794000061037011
30;150.88351084933012;30;73.561815240943631;30;43.543809320352786;30;855;30;5.00015259254738;30;4.9656666768395032;30;127.17673268837551;30;49.842829676198605
40;150.93234046449172;40;73.549607837153232;40;43.556016724143184;40;855;40;5.00015259254738;40;4.9650563066499833;40;127.2133548997467;40;49.830622272408206
50;150.85909604174932;50;73.549607837153232;50;43.604846339304778;50;855;50;5.00015259254738;50;4.9635303811761835;50;127.2865993224891;50;49.8794518875698
60;150.87130344553972;60;73.574022644734029;60;43.519394512771989;60;855;60;5.00015259254738;60;4.9641407513657034;60;127.20114749595631;60;49.91607409894101
70;151.0544145023957;70;73.488570818201239;70;43.556016724143184;70;855;70;5.00015259254738;70;4.9644459364604634;70;127.20114749595631;70;49.757377849665815
80;151.00558488723411;80;73.366496780297254;80;43.678090762047184;80;855;80;5.00015259254738;80;4.9638355662709435;80;127.34763634144109;80;49.757377849665815
90;150.88351084933012;90;73.464156010620442;90;43.617053743095177;90;855;90;5.00015259254738;90;4.9641407513657034;90;127.2621845149083;90;49.8794518875698
100;151.00558488723411;100;73.525193029572435;100;43.531601916562387;100;855;100;5.00015259254738;100;4.9650563066499833;100;127.16452528458511;100;49.9893185216834
110;150.92013306070132;110;73.439741203039645;110;43.50718710898159;110;855;110;5.00015259254738;110;4.9662770470290232;110;127.2255623035371;110;49.952696310312206
120;150.98117007965331;120;73.390911587878051;120;43.604846339304778;120;855;120;5.00015259254738;120;4.9656666768395032;120;127.2377697073275;120;49.977111117893
