Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\OppCrack1.csv;
Starttime of export;134223619596660000;mandag 4. mai 2026;11:52:39.666
Endtime of export;134223619873060000;mandag 4. mai 2026;11:53:07.306


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar

0;151.49388103885008;0;36.524552140873439;0;78.408154545731989;0;24.523772531676819;0;5.00015259254738;0;4.9662770470290232;0;40.723899044770661;0;81.911679433576467
10;151.62816248054446;10;36.524552140873439;10;78.432569353312786;10;24.563307873497997;10;5.00015259254738;10;4.9638355662709435;10;40.760521256141857;10;81.936094241157264
20;151.48167363505968;20;36.426892910550251;20;78.420361949522388;20;24.563307873497997;20;5.00015259254738;20;4.9638355662709435;20;40.845973082674647;20;81.777397991882083
30;151.2741477706229;30;36.475722525711845;30;78.34711752678;30;24.523772531676819;30;5.00015259254738;30;4.9641407513657034;30;40.797143467513052;30;81.814020203253278
40;151.37180700094609;40;36.414685506759845;40;78.310495315408787;40;24.523772531676819;40;5.00015259254738;40;4.9659718619342632;40;40.784936063722654;40;81.875057222205271
50;151.43284401989808;50;36.329233680227055;50;78.310495315408787;50;24.523772531676819;50;5.00015259254738;50;4.9656666768395032;50;40.833765678884248;50;81.838435010834075
60;151.34739219336529;60;36.390270699179048;60;78.3715323343608;60;24.523772531676819;60;5.00015259254738;60;4.9638355662709435;60;40.711691640980249;60;81.740775780510887
70;151.3351847895749;70;36.500137333292642;70;78.34711752678;70;24.523772531676819;70;5.00015259254738;70;4.9641407513657034;70;40.626239814447459;70;81.838435010834075
80;151.49388103885008;80;36.439100314340649;80;78.2494582964568;80;24.523772531676819;80;5.00015259254738;80;4.9647511215552234;80;40.870387890255444;80;81.88726462599567
90;151.56712546159247;90;36.414685506759845;90;78.2372508926664;90;24.563307873497997;90;5.00015259254738;90;4.9656666768395032;90;41.004669331949827;90;81.814020203253278
100;151.51829584643087;100;36.451307718131048;100;78.34711752678;100;24.523772531676819;100;5.00015259254738;100;4.9644459364604634;100;40.870387890255444;100;81.765190588091684
