Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\OppPOPEN90.csv;
Starttime of export;134223624689660000;mandag 4. mai 2026;12:01:08.966
Endtime of export;134223624922060000;mandag 4. mai 2026;12:01:32.206


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar

0;151.16428113650929;0;32.142094180120246;0;79.4335764641255;0;39.38906105643985;0;5.00015259254738;0;4.9711600085451826;0;45.204016235847035;0;84.609515671254627
10;151.21311075167091;10;32.239753410443434;10;79.3603320413831;10;39.428596398261035;10;5.00015259254738;10;4.9717703787347025;10;45.22843104342784;10;84.597308267464228
20;151.13986632892849;20;32.251960814233833;20;79.3481246375927;20;39.38906105643985;20;5.00015259254738;20;4.9717703787347025;20;45.289468062379832;20;84.560686056093019
30;151.13986632892849;30;32.300790429395427;30;79.4335764641255;30;39.38906105643985;30;5.00015259254738;30;4.9690237128818628;30;45.22843104342784;30;84.524063844721823
40;151.16428113650929;40;32.142094180120246;40;79.3847468489639;40;39.428596398261035;40;5.00015259254738;40;4.9687185277871029;40;45.155186620685441;40;84.54847865230262
50;151.11545152134769;50;32.215338602862637;50;79.3725394451735;50;39.38906105643985;50;5.00015259254738;50;4.9708548234504226;50;45.216223639637441;50;84.536271248512222
60;151.0910367137669;60;32.386242255928224;60;79.457991271706291;60;39.38906105643985;60;5.00015259254738;60;4.9726859340189824;60;45.326090273751028;60;84.54847865230262
70;151.0910367137669;70;32.410657063509021;70;79.4091616565447;70;39.349525714618679;70;5.00015259254738;70;4.9717703787347025;70;45.301675466170231;70;84.524063844721823
80;151.16428113650929;80;32.349620044557028;80;79.3481246375927;80;39.38906105643985;80;5.00015259254738;80;4.9711600085451826;80;45.399334696493419;80;84.597308267464228
90;151.16428113650929;90;32.349620044557028;90;79.47019867549669;90;39.349525714618679;90;5.00015259254738;90;4.9690237128818628;90;45.301675466170231;90;84.694967497787417
100;151.12765892513809;100;32.300790429395427;100;79.457991271706291;100;39.38906105643985;100;5.00015259254738;100;4.9705496383556627;100;45.155186620685441;100;84.572893459883431
110;151.0910367137669;110;32.325205236976231;110;79.4335764641255;110;39.428596398261035;110;5.00015259254738;110;4.9702444532609027;110;45.094149601733449;110;84.46302682576983
120;151.0666219061861;120;32.386242255928224;120;79.482406079287088;120;39.38906105643985;120;5.00015259254738;120;4.9705496383556627;120;45.130771813104644;120;84.475234229560229
130;151.20090334788051;130;32.325205236976231;130;79.47019867549669;130;39.38906105643985;130;5.00015259254738;130;4.9711600085451826;130;45.374919888912622;130;84.609515671254627
140;151.20090334788051;140;32.361827448347427;140;79.3969542527543;140;39.349525714618679;140;5.00015259254738;140;4.9693288979766228;140;45.301675466170231;140;84.572893459883431
