Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Main\pOpen-70.csv;
Starttime of export;134223609613160000;mandag 4. mai 2026;11:36:01.316
Endtime of export;134223609766560000;mandag 4. mai 2026;11:36:16.656


Name;fPresSupply_bar;Name;fPres2A_bar;Name;fPres2B_bar;Name;fPresCylMain_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;151.34739219336529;0;0;0;0.15869624927518539;0;27.857295449690238;0;592.80284981126465;0;5.00015259254738;0;4.99649037141026
10;151.2985625782037;10;0;10;0.15869624927518539;10;27.906125064851832;10;592.80284981126465;10;5.00015259254738;10;4.99649037141026
20;151.24973296304211;20;0;20;0.15869624927518539;20;28.015991698965419;20;592.80284981126465;20;5.00015259254738;20;4.99710074159978
30;151.37180700094609;30;0;30;0.15869624927518539;30;27.967162083803824;30;592.80284981126465;30;5.00015259254738;30;4.9961851863155005
40;151.40842921231729;40;0;40;0.15869624927518539;40;27.906125064851832;40;592.80284981126465;40;5.00015259254738;40;4.9961851863155005
50;151.3229773857845;50;0;50;0.17090365306558428;50;27.91833246864223;50;592.84239278591406;50;5.00015259254738;50;4.9952696310312206
60;151.2863551744133;60;0;60;0.17090365306558428;60;27.91833246864223;60;592.76330683661524;60;5.00015259254738;60;4.9949644459364606
70;151.38401440473649;70;0;70;0.15869624927518539;70;28.052613910336621;70;592.80284981126465;70;5.00015259254738;70;4.9952696310312206
80;151.42063661610769;80;0;80;0.17090365306558428;80;27.991576891384621;80;592.84239278591406;80;5.00015259254738;80;4.9952696310312206
90;151.38401440473649;90;0;90;0.18311105685598317;90;27.80846583452864;90;592.92147873521287;90;5.00015259254738;90;4.99710074159978
100;151.3229773857845;100;0;100;0.17090365306558428;100;27.857295449690238;100;592.84239278591406;100;5.00015259254738;100;4.9961851863155005
110;151.34739219336529;110;0;110;0.15869624927518539;110;27.979369487594223;110;592.80284981126465;110;5.00015259254738;110;4.9952696310312206
120;151.2985625782037;120;0;120;0.15869624927518539;120;27.991576891384621;120;592.76330683661524;120;5.00015259254738;120;4.9952696310312206
130;151.2863551744133;130;0;130;0.15869624927518539;130;28.015991698965419;130;592.76330683661524;130;5.00015259254738;130;4.9958800012207405
140;151.3229773857845;140;0;140;0.15869624927518539;140;27.979369487594223;140;592.76330683661524;140;5.00015259254738;140;4.9955748161259805
150;151.3107699819941;150;0;150;0.15869624927518539;150;27.930539872432629;150;592.76330683661524;150;5.00015259254738;150;4.9961851863155005
160;151.23752555925171;160;0;160;0.17090365306558428;160;27.832880642109441;160;592.80284981126465;160;5.00015259254738;160;4.9955748161259805
170;151.22531815546131;170;0;170;0.15869624927518539;170;27.820673238319038;170;592.80284981126465;170;5.00015259254738;170;4.9955748161259805
180;151.38401440473649;180;0;180;0.15869624927518539;180;27.991576891384621;180;592.84239278591406;180;5.00015259254738;180;4.9955748161259805
190;151.43284401989808;190;0;190;0.14648884548478652;190;28.06482131412702;190;592.80284981126465;190;5.00015259254738;190;4.9955748161259805
200;151.42063661610769;200;0;200;0.15869624927518539;200;27.991576891384621;200;592.76330683661524;200;5.00015259254738;200;4.9961851863155005
210;151.38401440473649;210;0;210;0.15869624927518539;210;27.91833246864223;210;592.80284981126465;210;5.00015259254738;210;4.9958800012207405
220;151.42063661610769;220;0;220;0.14648884548478652;220;27.930539872432629;220;592.80284981126465;220;5.00015259254738;220;4.9955748161259805
230;151.34739219336529;230;0;230;0.15869624927518539;230;27.979369487594223;230;592.80284981126465;230;5.00015259254738;230;4.9946592608417006
240;151.2985625782037;240;0;240;0.15869624927518539;240;27.991576891384621;240;592.84239278591406;240;5.00015259254738;240;4.9955748161259805
250;151.34739219336529;250;0;250;0.17090365306558428;250;27.967162083803824;250;592.84239278591406;250;5.00015259254738;250;4.9958800012207405
260;151.3107699819941;260;0;260;0.18311105685598317;260;27.942747276223027;260;592.80284981126465;260;5.00015259254738;260;4.9958800012207405
270;151.38401440473649;270;0;270;0.18311105685598317;270;27.930539872432629;270;592.80284981126465;270;5.00015259254738;270;4.9961851863155005
280;151.2985625782037;280;0;280;0.17090365306558428;280;27.857295449690238;280;592.84239278591406;280;5.00015259254738;280;4.9961851863155005
290;151.2741477706229;290;0;290;0.15869624927518539;290;27.845088045899839;290;592.80284981126465;290;5.00015259254738;290;4.9961851863155005
300;151.34739219336529;300;0;300;0.15869624927518539;300;27.845088045899839;300;592.76330683661524;300;5.00015259254738;300;4.9955748161259805
310;151.3107699819941;310;0;310;0.17090365306558428;310;27.930539872432629;310;592.92147873521287;310;5.00015259254738;310;4.9955748161259805
320;151.2985625782037;320;0;320;0.18311105685598317;320;27.881710257271035;320;592.92147873521287;320;5.00015259254738;320;4.9955748161259805
330;151.23752555925171;330;0;330;0.15869624927518539;330;27.820673238319038;330;592.84239278591406;330;5.00015259254738;330;4.9958800012207405
340;151.3351847895749;340;0;340;0.13428144169438766;340;27.893917661061433;340;592.92147873521287;340;5.00015259254738;340;4.9958800012207405
350;151.37180700094609;350;0;350;0.15869624927518539;350;28.015991698965419;350;592.84239278591406;350;5.00015259254738;350;4.9955748161259805
360;151.37180700094609;360;0;360;0.17090365306558428;360;28.077028717917418;360;592.80284981126465;360;5.00015259254738;360;4.9952696310312206
370;151.42063661610769;370;0;370;0.17090365306558428;370;28.00378429517502;370;592.72376386196572;370;5.00015259254738;370;4.9955748161259805
380;151.43284401989808;380;0;380;0.15869624927518539;380;27.942747276223027;380;592.76330683661524;380;5.00015259254738;380;4.9952696310312206
390;151.3351847895749;390;0;390;0.14648884548478652;390;27.832880642109441;390;592.80284981126465;390;5.00015259254738;390;4.9949644459364606
400;151.2741477706229;400;0;400;0.14648884548478652;400;27.784051026947843;400;592.84239278591406;400;5.00015259254738;400;4.9955748161259805
410;151.37180700094609;410;0;410;0.14648884548478652;410;27.906125064851832;410;592.80284981126465;410;5.00015259254738;410;4.9952696310312206
420;151.34739219336529;420;0;420;0.15869624927518539;420;27.967162083803824;420;592.80284981126465;420;5.00015259254738;420;4.9961851863155005
430;151.37180700094609;430;0;430;0.18311105685598317;430;27.930539872432629;430;592.84239278591406;430;5.00015259254738;430;4.9958800012207405
440;151.44505142368848;440;0;440;0.17090365306558428;440;27.857295449690238;440;592.80284981126465;440;5.00015259254738;440;4.9952696310312206
450;151.34739219336529;450;0;450;0.15869624927518539;450;27.906125064851832;450;592.80284981126465;450;5.00015259254738;450;4.9946592608417006
460;151.3229773857845;460;0;460;0.14648884548478652;460;28.00378429517502;460;592.84239278591406;460;4.9552903836176645;460;4.9949644459364606
470;151.39622180852689;470;0;470;0.15869624927518539;470;27.979369487594223;470;592.80284981126465;470;4.9101229895931882;470;4.9958800012207405
480;151.3351847895749;480;0;480;0.15869624927518539;480;27.991576891384621;480;592.80284981126465;480;4.8652607806634727;480;4.9955748161259805
490;151.24973296304211;490;0;490;0.15869624927518539;490;27.906125064851832;490;592.84239278591406;490;4.8200933866389963;490;4.9949644459364606
500;151.24973296304211;500;0;500;0.15869624927518539;500;27.832880642109441;500;592.84239278591406;500;4.77523117770928;500;4.9952696310312206
510;151.39622180852689;510;0;510;0.17090365306558428;510;27.893917661061433;510;592.84239278591406;510;4.7300637836848045;510;4.9958800012207405
520;151.42063661610769;520;0;520;0.15869624927518539;520;27.820673238319038;520;592.84239278591406;520;4.685201574755089;520;4.9949644459364606
530;151.3229773857845;530;0;530;0.17090365306558428;530;27.857295449690238;530;592.80284981126465;530;4.6400341807306136;530;4.9946592608417006
540;151.2741477706229;540;0;540;0.15869624927518539;540;28.015991698965419;540;592.76330683661524;540;4.5951719718008972;540;4.9934385204626608
550;151.3351847895749;550;0;550;0.14648884548478652;550;27.942747276223027;550;592.84239278591406;550;4.5500045777764218;550;4.9937437055574208
560;151.34739219336529;560;0;560;0.17090365306558428;560;27.893917661061433;560;592.84239278591406;560;4.5051423688467054;560;4.9928281502731409
570;151.34739219336529;570;0;570;0.14648884548478652;570;27.832880642109441;570;592.84239278591406;570;4.460280159916989;570;4.9922177800836209
580;151.2985625782037;580;0;580;0.15869624927518539;580;27.710806604205452;580;592.84239278591406;580;4.4151127658925136;580;4.9931333353679008
590;151.22531815546131;590;0;590;0.17090365306558428;590;27.893917661061433;590;592.80284981126465;590;4.3702505569627981;590;4.9925229651783809
600;151.3107699819941;600;0;600;0.17090365306558428;600;28.015991698965419;600;592.80284981126465;600;4.3250831629383217;600;4.9934385204626608
610;151.3351847895749;610;0;610;0.18311105685598317;610;27.881710257271035;610;592.84239278591406;610;4.2802209540086062;610;4.9937437055574208
620;151.37180700094609;620;0;620;0.17090365306558428;620;27.906125064851832;620;592.84239278591406;620;4.2350535599841308;620;4.9946592608417006
630;151.39622180852689;630;0;630;0.15869624927518539;630;27.979369487594223;630;592.84239278591406;630;4.1901913510544144;630;4.9949644459364606
640;151.34739219336529;640;0;640;0.15869624927518539;640;27.942747276223027;640;592.84239278591406;640;4.1450239570299381;640;4.9952696310312206
650;151.2985625782037;650;0;650;0.17090365306558428;650;27.930539872432629;650;592.96102170986228;650;4.1001617481002226;650;4.9955748161259805
660;151.3107699819941;660;0;660;0.18311105685598317;660;27.832880642109441;660;592.96102170986228;660;4.0549943540757472;660;4.9952696310312206
670;151.38401440473649;670;0;670;0.18311105685598317;670;27.80846583452864;670;592.96102170986228;670;4.0101321451460308;670;4.9955748161259805
680;151.34739219336529;680;0.012207403790398877;680;0.18311105685598317;680;27.91833246864223;680;592.92147873521287;680;3.9652699362163153;680;4.9922177800836209
690;151.3229773857845;690;0;690;0.18311105685598317;690;27.942747276223027;690;592.92147873521287;690;3.9201025421918394;690;4.9873348185674606
700;151.12765892513809;700;0;700;0.18311105685598317;700;27.979369487594223;700;592.84239278591406;700;3.8752403332621235;700;4.9620044557023837
710;151.21311075167091;710;0;710;0.20752586443678089;710;27.967162083803824;710;592.84239278591406;710;3.8300729392376476;710;4.9049348429822688
720;151.22531815546131;720;0;720;0.20752586443678089;720;27.930539872432629;720;592.84239278591406;720;3.7852107303079316;720;4.8210089419232762
730;151.21311075167091;730;0;730;0.17090365306558428;730;27.893917661061433;730;592.92147873521287;730;3.7400433362834558;730;4.6946623126926479
740;151.0666219061861;740;0;740;0.18311105685598317;740;27.967162083803824;740;592.96102170986228;740;3.69518112735374;740;4.56556901760918
750;151.20090334788051;750;0;750;0.18311105685598317;750;27.991576891384621;750;592.92147873521287;750;3.6500137333292644;750;4.4428846095156711
760;151.40842921231729;760;0;760;0.18311105685598317;760;27.857295449690238;760;592.96102170986228;760;3.6051515243995484;760;4.3223364970854821
770;151.20090334788051;770;0;770;0.17090365306558428;770;27.906125064851832;770;592.92147873521287;770;3.5599841303750726;770;4.2558061464278083
780;151.20090334788051;780;0;780;0.18311105685598317;780;27.91833246864223;780;592.96102170986228;780;3.5151219214453566;780;4.1923276467177342
790;151.15207373271889;790;0;790;0.17090365306558428;790;27.893917661061433;790;592.96102170986228;790;3.4699545274208807;790;4.1254921109653
800;150.95675527207251;800;0;800;0.18311105685598317;800;27.906125064851832;800;592.96102170986228;800;3.4250923184911648;800;4.0522476882229066
810;150.51728873561817;810;0;810;0.20752586443678089;810;27.845088045899839;810;592.96102170986228;810;3.3802301095614489;810;3.967711416974395
820;150.41962950529498;820;0;820;0.32959990234076969;820;27.845088045899839;820;592.96102170986228;820;3.3350627155369734;820;3.9249855037079988
830;150.17548142948698;830;0;830;0.598162785729545;830;27.881710257271035;830;592.92147873521287;830;3.290200506607257;830;3.8959929197058014
840;150.12665181432538;840;0;840;1.0132145146031069;840;27.942747276223027;840;592.92147873521287;840;3.2450331125827816;840;3.8819544053468431
850;149.85808893093662;850;0.012207403790398877;850;1.6968291268654438;850;28.247932370983005;850;592.96102170986228;850;3.2001709036530657;850;3.8514358958708454
860;149.55290383617663;860;0;860;2.4536881618701742;860;28.577532273323769;860;592.92147873521287;860;3.1550035096285898;860;3.8181707205420086
870;148.83266701254311;870;0;870;3.6988433484908603;870;28.846095156712547;870;593.00056468451169;870;3.1101413006988738;870;3.7589648121585739
880;147.63634144108403;880;0;880;5.8107242042298655;880;29.200109866634115;880;593.00056468451169;880;3.064973906674398;880;3.6610003967406231
890;147.22128971221045;890;0;890;8.2155827509384434;890;29.944761497848443;890;593.00056468451169;890;3.0201116977446825;890;3.5963011566515091
900;146.96493423261208;900;0;900;10.571611682485429;900;30.957976012451553;900;592.92147873521287;900;2.9749443037202061;900;3.5676137577440721
910;146.7696157719657;910;0;910;13.306070131534774;910;31.946775719473862;910;592.84239278591406;910;2.9300820947904906;910;3.5358745078890346
920;146.09820856349376;920;0;920;15.894039735099339;920;33.008819849238563;920;592.80284981126465;920;2.8852198858607747;920;3.4766685995056
930;145.57329020050659;930;0;930;19.251075777459029;930;34.424878688924835;930;592.80284981126465;930;2.8400524918362984;930;3.4241767632068849
940;145.01174962614826;940;0;940;22.937711722159492;940;35.75548570207831;940;592.84239278591406;940;2.7951902829065829;940;3.3829767754142885
950;144.79201635792109;950;0;950;26.477858821375165;950;37.342448194830162;950;592.76330683661524;950;2.750022888882107;950;3.36863307596057
960;144.58449049348431;960;0;960;30.054628131962037;960;39.027069917905209;960;592.644677912667;960;2.7051606799523915;960;3.3417767876216926
970;144.45020905178993;970;0;970;33.6680196539201;970;40.723899044770661;970;592.60513493801761;970;2.6599932859279152;970;3.3048493911557357
980;143.91308328501236;980;0;980;37.611011078218944;980;42.591631824701679;980;592.68422088731643;980;2.6151310769981997;980;3.2422864467299419
990;142.98532059694205;990;0;990;42.005676442762528;990;44.715720084231087;990;592.60513493801761;990;2.5699636829737238;990;3.1446272164067506
1000;142.97311319315165;1000;0;1000;46.6566972869045;1000;47.144993438520466;1000;592.48650601406939;1000;2.5251014740440074;1000;3.0893887142551959
1010;143.19284646137882;1010;0;1010;51.1368144779809;1010;49.659718619342627;1010;592.40742006477046;1010;2.479934080019532;1010;3.0628376110110782
1020;143.42478713339642;1020;0;1020;55.568102053895686;1020;52.284310434278389;1020;592.32833411547176;1020;2.435071871089816;1020;3.0252998443556018
1030;143.14401684621723;1030;0;1030;60.194708090456864;1030;54.982146671956542;1030;592.17016221687413;1030;2.3902096621601;1030;2.9551072725608081
