Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\FeedForward\Jib\K15.csv;
Starttime of export;134222770631170000;søndag 3. mai 2026;12:17:43.117
Endtime of export;134222771072570000;søndag 3. mai 2026;12:18:27.257


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID

0;0.3501304686862543;0;0.34883218149080147;0;0;0;0;0;0.0011340168893592864;0;0.0012982871954528297;0;0
10;0.3501304686862543;10;0.34883218149080147;10;0;10;0;10;0.0011340168893592864;10;0.0012982871954528297;10;0
20;0.3501304686862543;20;0.34875311080715909;20;0;20;0;20;0.0011340168893592864;20;0.0012982871954528297;20;0
30;0.3501304686862543;30;0.34875311080715909;30;0;30;0;30;0.0011340168893592864;30;0.0012982871954528297;30;0
40;0.3501304686862543;40;0.34883218149080147;40;0;40;0;40;0.0011340168893592864;40;0.0012982871954528297;40;0
50;0.3501304686862543;50;0.34887171683262258;50;0;50;0;50;0.0011340168893592864;50;0.0012982871954528297;50;0
60;0.3501304686862543;60;0.34883218149080147;60;0;60;0;60;0.0011340168893592864;60;0.0012982871954528297;60;0
70;0.3501304686862543;70;0.34875311080715909;70;0;70;0;70;0.0011340168893592864;70;0.0012982871954528297;70;0
80;0.3501304686862543;80;0.34871357546533788;80;0;80;0;80;0.0011340168893592864;80;0.0012982871954528297;80;0
90;0.3501304686862543;90;0.34883218149080147;90;0;90;0;90;0.0011340168893592864;90;0.0012982871954528297;90;0
100;0.3501304686862543;100;0.34887171683262258;100;0;100;0;100;0.0011340168893592864;100;0.0012982871954528297;100;0
110;0.3501304686862543;110;0.34883218149080147;110;0;110;0;110;0.0011340168893592864;110;0.0012982871954528297;110;0
120;0.3501304686862543;120;0.34887171683262258;120;0;120;0;120;0.0011340168893592864;120;0.0012982871954528297;120;0
130;0.3501304686862543;130;0.34883218149080147;130;0;130;0;130;0.0011340168893592864;130;0.0012982871954528297;130;0
140;0.3501304686862543;140;0.34883218149080147;140;0;140;0;140;0.0011340168893592864;140;0.0012982871954528297;140;0
150;0.3501304686862543;150;0.34883218149080147;150;0;150;0;150;0.0011340168893592864;150;0.0012982871954528297;150;0
160;0.3501304686862543;160;0.34875311080715909;160;0;160;0;160;0.0011340168893592864;160;0.0012982871954528297;160;0
