Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Scope Project.csv;
Starttime of export;134222747887170000;søndag 3. mai 2026;11:39:48.717
Endtime of export;134222748520570000;søndag 3. mai 2026;11:40:52.057


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID

0;0.35015413325666189;0;0.44370625628098009;0;0;0;0;0;0.0012324323660605719;0;0;0;0
10;0.35015413325666189;10;0.44374472803622389;10;0;10;0;10;0.0012324323660605719;10;0;10;0
20;0.35015413325666189;20;0.44370625628098009;20;0;20;0;20;0.0012324323660605719;20;0;20;0
30;0.35015413325666189;30;0.44370625628098009;30;0;30;0;30;0.0012324323660605719;30;0;30;0
40;0.35015413325666189;40;0.44370625628098009;40;0;40;0;40;0.0012324323660605719;40;0;40;0
50;0.35015413325666189;50;0.44374472803622389;50;0;50;0;50;0.0012324323660605719;50;0;50;0
60;0.35015413325666189;60;0.44370625628098009;60;0;60;0;60;0.0012324323660605719;60;0;60;0
70;0.35015413325666189;70;0.44374472803622389;70;0;70;0;70;0.0012324323660605719;70;0;70;0
80;0.35015413325666189;80;0.44370625628098009;80;0;80;0;80;0.0012324323660605719;80;0;80;0
90;0.35015413325666189;90;0.44366778452573635;90;0;90;0;90;0.0012324323660605719;90;0;90;0
100;0.35015413325666189;100;0.44370625628098009;100;0;100;0;100;0.0012324323660605719;100;0;100;0
110;0.35015413325666189;110;0.44374472803622389;110;0;110;0;110;0.0012324323660605719;110;0;110;0
120;0.35015413325666189;120;0.44370625628098009;120;0;120;0;120;0.0012324323660605719;120;0;120;0
130;0.35015413325666189;130;0.44370625628098009;130;0;130;0;130;0.0012324323660605719;130;0;130;0
140;0.35015413325666189;140;0.44366778452573635;140;0;140;0;140;0.0012324323660605719;140;0;140;0
150;0.35015413325666189;150;0.44362931277049261;150;0;150;0;150;0.0012324323660605719;150;0;150;0
160;0.35015413325666189;160;0.44370625628098009;160;0;160;0;160;0.0012324323660605719;160;0;160;0
170;0.35015413325666189;170;0.44370625628098009;170;0;170;0;170;0.0012324323660605719;170;0;170;0
180;0.35015413325666189;180;0.44370625628098009;180;0;180;0;180;0.0012324323660605719;180;0;180;0
190;0.35015413325666189;190;0.44370625628098009;190;0;190;0;190;0.0012324323660605719;190;0;190;0
200;0.35015413325666189;200;0.44370625628098009;200;0;200;0;200;0.0012324323660605719;200;0;200;0
210;0.35015413325666189;210;0.44370625628098009;210;0;210;0;210;0.0012324323660605719;210;0;210;0
