Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\FeedForward\Main\P20.csv;
Starttime of export;134222763777670000;søndag 3. mai 2026;12:06:17.767
Endtime of export;134222764427070000;søndag 3. mai 2026;12:07:22.707


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID

0;0.3501304686862543;0;0.34964281471001274;0;0;0;0;0;0.0011340168893592864;0;0.00052612573148530517;0;0
10;0.3501304686862543;10;0.349604342954769;10;0;10;0;10;0.0011340168893592864;10;0.00052612573148530517;10;0
20;0.3501304686862543;20;0.34952739944428152;20;0;20;0;20;0.0011340168893592864;20;0.00052612573148530517;20;0
30;0.3501304686862543;30;0.34952739944428152;30;0;30;0;30;0.0011340168893592864;30;0.00052612573148530517;30;0
40;0.3501304686862543;40;0.349604342954769;40;0;40;0;40;0.0011340168893592864;40;0.00052612573148530517;40;0
50;0.3501304686862543;50;0.34952739944428152;50;0;50;0;50;0.0011340168893592864;50;0.00052612573148530517;50;0
60;0.3501304686862543;60;0.349604342954769;60;0;60;0;60;0.0011340168893592864;60;0.00052612573148530517;60;0
70;0.3501304686862543;70;0.349604342954769;70;0;70;0;70;0.0011340168893592864;70;0.00052612573148530517;70;0
80;0.3501304686862543;80;0.34964281471001274;80;0;80;0;80;0.0011340168893592864;80;0.00052612573148530517;80;0
90;0.3501304686862543;90;0.34964281471001274;90;0;90;0;90;0.0011340168893592864;90;0.00052612573148530517;90;0
100;0.3501304686862543;100;0.34964281471001274;100;0;100;0;100;0.0011340168893592864;100;0.00052612573148530517;100;0
110;0.3501304686862543;110;0.34964281471001274;110;0;110;0;110;0.0011340168893592864;110;0.00052612573148530517;110;0
120;0.3501304686862543;120;0.34968128646525648;120;0;120;0;120;0.0011340168893592864;120;0.00052612573148530517;120;0
130;0.3501304686862543;130;0.34964281471001274;130;0;130;0;130;0.0011340168893592864;130;0.00052612573148530517;130;0
140;0.3501304686862543;140;0.34952739944428152;140;0;140;0;140;0.0011340168893592864;140;0.00052612573148530517;140;0
150;0.3501304686862543;150;0.34964281471001274;150;0;150;0;150;0.0011340168893592864;150;0.00052612573148530517;150;0
160;0.3501304686862543;160;0.349604342954769;160;0;160;0;160;0.0011340168893592864;160;0.00052612573148530517;160;0
170;0.3501304686862543;170;0.349604342954769;170;0;170;0;170;0.0011340168893592864;170;0.00052612573148530517;170;0
180;0.3501304686862543;180;0.349604342954769;180;0;180;0;180;0.0011340168893592864;180;0.00052612573148530517;180;0
190;0.3501304686862543;190;0.34952739944428152;190;0;190;0;190;0.0011340168893592864;190;0.00052612573148530517;190;0
200;0.3501304686862543;200;0.34952739944428152;200;0;200;0;200;0.0011340168893592864;200;0.00052612573148530517;200;0
210;0.3501304686862543;210;0.349604342954769;210;0;210;0;210;0.0011340168893592864;210;0.00052612573148530517;210;0
220;0.3501304686862543;220;0.34964281471001274;220;0;220;0;220;0.0011340168893592864;220;0.00052612573148530517;220;0
230;0.3501304686862543;230;0.349604342954769;230;0;230;0;230;0.0011340168893592864;230;0.00052612573148530517;230;0
240;0.3501304686862543;240;0.349604342954769;240;0;240;0;240;0.0011340168893592864;240;0.00052612573148530517;240;0
250;0.3501304686862543;250;0.34952739944428152;250;0;250;0;250;0.0011340168893592864;250;0.00052612573148530517;250;0
260;0.3501304686862543;260;0.349604342954769;260;0;260;0;260;0.0011340168893592864;260;0.00052612573148530517;260;0
270;0.3501304686862543;270;0.349604342954769;270;0;270;0;270;0.0011340168893592864;270;0.00052612573148530517;270;0
280;0.3501304686862543;280;0.34964281471001274;280;0;280;0;280;0.0011340168893592864;280;0.00052612573148530517;280;0
290;0.3501304686862543;290;0.34968128646525648;290;0;290;0;290;0.0011340168893592864;290;0.00052612573148530517;290;0
300;0.3501304686862543;300;0.34964281471001274;300;0;300;0;300;0.0011340168893592864;300;0.00052612573148530517;300;0
310;0.3501304686862543;310;0.349604342954769;310;0;310;0;310;0.0011340168893592864;310;0.00052612573148530517;310;0
320;0.3501304686862543;320;0.349604342954769;320;0;320;0;320;0.0011340168893592864;320;0.00052612573148530517;320;0
330;0.3501304686862543;330;0.349604342954769;330;0;330;0;330;0.0011340168893592864;330;0.00052612573148530517;330;0
340;0.3501304686862543;340;0.34964281471001274;340;0;340;0;340;0.0011340168893592864;340;0.00052612573148530517;340;0
350;0.3501304686862543;350;0.34964281471001274;350;0;350;0;350;0.0011340168893592864;350;0.00052612573148530517;350;0
360;0.3501304686862543;360;0.34964281471001274;360;0;360;0;360;0.0011340168893592864;360;0.00052612573148530517;360;0
370;0.3501304686862543;370;0.34971975822050022;370;0;370;0;370;0.0011340168893592864;370;0.00052612573148530517;370;0
380;0.3501304686862543;380;0.34964281471001274;380;0;380;0;380;0.0011340168893592864;380;0.00052612573148530517;380;0
390;0.3501304686862543;390;0.349604342954769;390;0;390;0;390;0.0011340168893592864;390;0.00052612573148530517;390;0
400;0.3501304686862543;400;0.349604342954769;400;0;400;0;400;0.0011340168893592864;400;0.00052612573148530517;400;0
410;0.3501304686862543;410;0.349604342954769;410;0;410;0;410;0.0011340168893592864;410;0.00052612573148530517;410;0
420;0.3501304686862543;420;0.34964281471001274;420;0;420;0;420;0.0011340168893592864;420;0.00052612573148530517;420;0
430;0.3501304686862543;430;0.34952739944428152;430;0;430;0;430;0.0011340168893592864;430;0.00052612573148530517;430;0
440;0.3501304686862543;440;0.34952739944428152;440;0;440;0;440;0.0011340168893592864;440;0.00052612573148530517;440;0
450;0.3501304686862543;450;0.34952739944428152;450;0;450;0;450;0.0011340168893592864;450;0.00052612573148530517;450;0
460;0.3501304686862543;460;0.349604342954769;460;0;460;0;460;0.0011340168893592864;460;0.00052612573148530517;460;0
470;0.3501304686862543;470;0.349604342954769;470;0;470;0;470;0.0011340168893592864;470;0.00052612573148530517;470;0
480;0.3501304686862543;480;0.34952739944428152;480;0;480;0;480;0.0011340168893592864;480;0.00052612573148530517;480;0
