Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\JibNed\-17-4prosent.csv;
Starttime of export;134214165511700000;torsdag 23. april 2026;13:15:51.170
Endtime of export;134214165650936936;torsdag 23. april 2026;13:16:05.093


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V

0;153.01980651264992;0;0.28077028717917418;0;85.024567400128177;0;756.44155566714846;0;4.1300698873867;0;4.1926328318124941
10;152.99539170506912;10;0.26856288338877532;10;84.902493362224192;10;756.44155566714846;10;4.1300698873867;10;4.1932432020020141
20;153.06863612781152;20;0.26856288338877532;20;84.91470076601459;20;756.48109100896966;20;4.1300698873867;20;4.1969054231391336
30;153.06863612781152;30;0.26856288338877532;30;84.91470076601459;30;756.52062635079085;30;4.1300698873867;30;4.1926328318124941
40;153.04422132023072;40;0.28077028717917418;40;84.963530381176184;40;756.48109100896966;40;4.1300698873867;40;4.1947691274758139
50;152.98318430127873;50;0.26856288338877532;50;84.902493362224192;50;756.48109100896966;50;4.1300698873867;50;4.1926328318124941
60;152.98318430127873;60;0.24414807580797754;60;84.8902859584338;60;756.44155566714846;60;4.1300698873867;60;4.1944639423810539
70;152.94656208990753;70;0.23194067201757868;70;85.036774803918576;70;756.40202032532738;70;4.1300698873867;70;4.1904965361491744
80;153.08084353160191;80;0.26856288338877532;80;85.122226630451365;80;756.44155566714846;80;4.1300698873867;80;4.1944639423810539
90;153.10525833918271;90;0.28077028717917418;90;85.097811822870568;90;756.44155566714846;90;4.1300698873867;90;4.1956846827600938
100;152.97097689748833;100;0.24414807580797754;100;85.012359996337779;100;756.44155566714846;100;4.1300698873867;100;4.1923276467177342
110;152.98318430127873;110;0.26856288338877532;110;85.207678456984155;110;756.48109100896966;110;4.1300698873867;110;4.1947691274758139
120;152.97097689748833;120;0.26856288338877532;120;85.183263649403358;120;756.48109100896966;120;4.1300698873867;120;4.1923276467177342
130;153.06863612781152;130;0.26856288338877532;130;85.293130283516945;130;756.560161692612;130;4.1300698873867;130;4.1947691274758139
140;153.10525833918271;140;0.26856288338877532;140;85.293130283516945;140;756.52062635079085;140;4.1300698873867;140;4.1929380169072541
150;152.97097689748833;150;0.28077028717917418;150;85.219885860774554;150;756.48109100896966;150;4.1300698873867;150;4.1972106082338936
160;152.83669545579394;160;0.28077028717917418;160;85.256508072145749;160;756.44155566714846;160;4.1300698873867;160;4.193853572191534
170;153.04422132023072;170;0.24414807580797754;170;85.293130283516945;170;756.48109100896966;170;4.1300698873867;170;4.1926328318124941
180;153.08084353160191;180;0.28077028717917418;180;85.32975249488814;180;756.48109100896966;180;4.1300698873867;180;4.1911069063386943
190;153.01980651264992;190;0.28077028717917418;190;85.207678456984155;190;756.44155566714846;190;4.1300698873867;190;4.1923276467177342
200;153.08084353160191;200;0.24414807580797754;200;85.195471053193756;200;756.44155566714846;200;4.1300698873867;200;4.1953794976653338
210;153.04422132023072;210;0.24414807580797754;210;85.195471053193756;210;756.44155566714846;210;4.1300698873867;210;4.1929380169072541
220;153.11746574297311;220;0.28077028717917418;220;85.354167302468952;220;756.44155566714846;220;4.1300698873867;220;4.1956846827600938
230;153.05642872402112;230;0.26856288338877532;230;85.390789513840147;230;756.40202032532738;230;4.1300698873867;230;4.1929380169072541
240;152.95876949369793;240;0.26856288338877532;240;85.427411725211343;240;756.44155566714846;240;4.1300698873867;240;4.1944639423810539
250;152.95876949369793;250;0.24414807580797754;250;85.378582110049749;250;756.44155566714846;250;4.1300698873867;250;4.1914120914334543
260;153.05642872402112;260;0.26856288338877532;260;85.36637470625935;260;756.44155566714846;260;4.1300698873867;260;4.1972106082338936
270;152.99539170506912;270;0.26856288338877532;270;85.464033936582538;270;756.48109100896966;270;4.1300698873867;270;4.1950743125705738
280;153.04422132023072;280;0.24414807580797754;280;85.464033936582538;280;756.44155566714846;280;4.1300698873867;280;4.1914120914334543
290;153.1662953581347;290;0.24414807580797754;290;85.415204321420944;290;756.48109100896966;290;4.1300698873867;290;4.193853572191534
300;153.11746574297311;300;0.24414807580797754;300;85.280922879726546;300;756.44155566714846;300;4.1300698873867;300;4.1929380169072541
310;152.98318430127873;310;0.24414807580797754;310;85.415204321420944;310;756.48109100896966;310;4.1300698873867;310;4.1959898678548537
320;152.98318430127873;320;0.24414807580797754;320;85.500656147953734;320;756.48109100896966;320;4.1300698873867;320;4.1947691274758139
330;153.06863612781152;330;0.26856288338877532;330;85.549485763115328;330;756.44155566714846;330;4.1300698873867;330;4.1969054231391336
340;153.00759910885952;340;0.24414807580797754;340;85.488448744163335;340;756.44155566714846;340;4.1300698873867;340;4.1932432020020141
350;153.08084353160191;350;0.24414807580797754;350;85.573900570696125;350;756.44155566714846;350;4.1300698873867;350;4.1959898678548537
360;153.04422132023072;360;0.26856288338877532;360;85.561693166905727;360;756.44155566714846;360;4.1300698873867;360;4.1932432020020141
370;153.00759910885952;370;0.24414807580797754;370;85.525070955534531;370;756.40202032532738;370;4.1300698873867;370;4.1947691274758139
380;153.05642872402112;380;0.24414807580797754;380;85.561693166905727;380;756.40202032532738;380;4.1300698873867;380;4.1966002380443737
390;153.09305093539231;390;0.23194067201757868;390;85.586107974486524;390;756.322949641685;390;4.1300698873867;390;4.193548387096774
400;153.04422132023072;400;0.26856288338877532;400;85.757011627552131;400;756.322949641685;400;4.1300698873867;400;4.1950743125705738
410;153.11746574297311;410;0.28077028717917418;410;85.69597460860011;410;756.40202032532738;410;4.1300698873867;410;4.1944639423810539
420;153.1785027619251;420;0.28077028717917418;420;85.757011627552131;420;756.44155566714846;420;4.1300698873867;420;4.1978209784234135
430;153.06863612781152;430;0.26856288338877532;430;85.610522782067321;430;756.44155566714846;430;4.1300698873867;430;4.1944639423810539
440;153.04422132023072;440;0.26856288338877532;440;85.647144993438516;440;756.48109100896966;440;4.1300698873867;440;4.1959898678548537
450;152.95876949369793;450;0.26856288338877532;450;85.744804223761733;450;756.48109100896966;450;4.1300698873867;450;4.193548387096774
460;152.97097689748833;460;0.24414807580797754;460;85.683767204809712;460;756.44155566714846;460;4.1300698873867;460;4.1956846827600938
470;153.04422132023072;470;0.26856288338877532;470;85.69597460860011;470;756.48109100896966;470;4.1300698873867;470;4.1932432020020141
480;153.14188055055391;480;0.26856288338877532;480;85.659352397228915;480;756.44155566714846;480;4.1300698873867;480;4.1929380169072541
490;153.05642872402112;490;0.28077028717917418;490;85.757011627552131;490;756.44155566714846;490;4.1300698873867;490;4.1947691274758139
500;153.11746574297311;500;0.26856288338877532;500;85.708182012390509;500;756.48109100896966;500;4.1300698873867;500;4.1947691274758139
510;153.1662953581347;510;0.26856288338877532;510;85.781426435132929;510;756.48109100896966;510;4.1300698873867;510;4.1956846827600938
520;153.00759910885952;520;0.28077028717917418;520;85.781426435132929;520;756.40202032532738;520;4.1300698873867;520;4.193548387096774
530;152.95876949369793;530;0.26856288338877532;530;85.757011627552131;530;756.40202032532738;530;4.1300698873867;530;4.1984313486129334
540;152.86111026337474;540;0.23194067201757868;540;85.744804223761733;540;756.44155566714846;540;4.1300698873867;540;4.1947691274758139
550;152.94656208990753;550;0.23194067201757868;550;85.757011627552131;550;756.48109100896966;550;4.1300698873867;550;4.193548387096774
560;153.04422132023072;560;0.24414807580797754;560;85.952330088198508;560;756.48109100896966;560;4.1300698873867;560;4.1932432020020141
570;153.14188055055391;570;0.24414807580797754;570;85.903500473036914;570;756.52062635079085;570;4.1300698873867;570;4.1978209784234135
580;152.99539170506912;580;0.26856288338877532;580;85.69597460860011;580;756.52062635079085;580;4.1300698873867;580;4.193548387096774
590;153.00759910885952;590;0.26856288338877532;590;85.757011627552131;590;756.48109100896966;590;4.1300698873867;590;4.1932432020020141
600;153.14188055055391;600;0.29297769096957305;600;85.9767448957793;600;756.44155566714846;600;4.1300698873867;600;4.1981261635181735
610;153.09305093539231;610;0.28077028717917418;610;85.940122684408109;610;756.40202032532738;610;4.1300698873867;610;4.1947691274758139
620;153.10525833918271;620;0.26856288338877532;620;86.0133671071505;620;756.44155566714846;620;4.1300698873867;620;4.193548387096774
630;153.05642872402112;630;0.26856288338877532;630;86.0011597033601;630;756.44155566714846;630;4.1300698873867;630;4.1932432020020141
640;152.97097689748833;640;0.26856288338877532;640;85.891293069246515;640;756.48109100896966;640;4.1300698873867;640;4.2002624591814932
