Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibNed150bar\-70prosent.csv;
Starttime of export;134214054590320000;torsdag 23. april 2026;10:10:59.032
Endtime of export;134214054660602752;torsdag 23. april 2026;10:11:06.060


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;149.06460768456068;0;22.437208166753138;0;131.99865718558306;0;0.73196917907983916;0;1.4313180944242685;0;1.499984740745262
10;149.21109653004547;10;22.461622974333935;10;132.03527939695425;10;0.73173196702891208;10;1.4358958708456679;10;1.499984740745262
20;149.23551133762626;20;22.437208166753138;20;132.07190160832545;20;0.73145521963616378;20;1.4337595751823482;20;1.499984740745262
30;149.21109653004547;30;22.38837855159154;30;132.18176824243903;30;0.73113893690159437;30;1.435590685750908;30;1.499984740745262
40;149.29654835657826;40;22.278511917477946;40;132.15735343485824;40;0.73086218950884618;40;1.4362010559404279;40;1.499984740745262
50;149.27213354899746;50;22.363963744010743;50;132.07190160832545;50;0.73042730074881324;50;1.4328440198980683;50;1.499984740745262
60;149.35758537553025;60;22.510452589495529;60;132.07190160832545;60;0.73011101801424383;60;1.4374217963194678;60;1.499984740745262
70;149.25992614520706;70;22.302926725058743;70;131.98644978179266;70;0.72983427062149553;70;1.4349803155613881;70;1.499984740745262
80;149.23551133762626;80;22.266304513687547;80;132.01086458937345;80;0.72963659391238966;80;1.4389477217932676;80;1.499984740745262
90;149.23551133762626;90;22.315134128849149;90;132.09631641590624;90;0.729280775835999;90;1.4334543900875882;90;1.499984740745262
100;149.34537797173985;100;22.315134128849149;100;132.05969420453505;100;0.72896449310142963;100;1.4398632770775475;100;1.499984740745262
110;149.29654835657826;110;22.437208166753138;110;131.93762016663106;110;0.72868774570868144;110;1.4334543900875882;110;1.499984740745262
120;149.27213354899746;120;22.473830378124333;120;131.99865718558306;120;0.728371462974112;120;1.4362010559404279;120;1.499984740745262
130;149.25992614520706;130;22.315134128849149;130;131.92541276284066;130;0.728173786265006;130;1.4374217963194678;130;1.499984740745262
140;149.33317056794945;140;22.351756340220344;140;131.82775353251748;140;0.72789703887225776;140;1.4349803155613881;140;1.499984740745262
150;149.46745200964384;150;22.363963744010743;150;131.77892391735588;150;0.72750168545404592;150;1.4374217963194678;150;1.499984740745262
160;149.29654835657826;160;22.254097109897149;160;131.80333872493668;160;0.727264473403119;160;1.4343699453718681;160;1.499984740745262
170;149.27213354899746;170;22.339548936429946;170;131.87658314767907;170;0.72702726135219187;170;1.4389477217932676;170;1.499984740745262
180;149.24771874141666;180;22.425000762962739;180;131.91320535905027;180;0.7267900493012649;180;1.4337595751823482;180;1.499984740745262
190;149.30875576036865;190;22.510452589495529;190;131.90099795525987;190;0.72643423122487427;190;1.4401684621723074;190;1.499984740745262
200;149.23551133762626;200;22.473830378124333;200;131.86437574388867;200;0.72611794849030487;200;1.4343699453718681;200;1.499984740745262
210;149.21109653004547;210;22.437208166753138;210;131.91320535905027;210;0.72584120109755657;210;1.4374217963194678;210;1.499984740745262
220;149.28434095278786;220;22.425000762962739;220;131.81554612872708;220;0.725485383021166;220;1.4343699453718681;220;1.499984740745262
230;149.23551133762626;230;22.400585955381938;230;131.81554612872708;230;0.72509002960295421;230;1.4377269814142277;230;1.499984740745262
240;149.24771874141666;240;22.486037781914732;240;131.82775353251748;240;0.72489235289384824;240;1.4404736472670676;240;1.499984740745262
250;149.24771874141666;250;22.473830378124333;250;131.83996093630788;250;0.72453653481745772;250;1.435590685750908;250;1.499984740745262
260;149.15005951109347;260;22.425000762962739;260;131.87658314767907;260;0.72429932276653064;260;1.4395580919827875;260;1.499984740745262
270;149.02798547318949;270;22.437208166753138;270;131.81554612872708;270;0.72390396934831891;270;1.435590685750908;270;1.499984740745262
280;149.15005951109347;280;22.437208166753138;280;131.81554612872708;280;0.72358768661374939;280;1.4404736472670676;280;1.499984740745262
290;149.08902249214148;290;22.449415570543536;290;131.83996093630788;290;0.7233109392210012;290;1.4340647602771082;290;1.499984740745262
300;149.21109653004547;300;22.547074800866724;300;131.88879055146947;300;0.72311326251189523;300;1.4401684621723074;300;1.499984740745262
310;149.16226691488387;310;22.608111819818721;310;131.92541276284066;310;0.72291558580278936;310;1.4349803155613881;310;1.499984740745262
320;149.24771874141666;320;22.534867397076326;320;131.97424237800226;320;0.7227179090936835;320;1.435590685750908;320;1.499984740745262
330;149.27213354899746;330;22.510452589495529;330;131.93762016663106;330;0.72232255567547166;330;1.4377269814142277;330;1.499984740745262
340;149.15005951109347;340;22.461622974333935;340;131.99865718558306;340;0.72184813157361749;340;1.4358958708456679;340;1.499984740745262
350;149.21109653004547;350;22.38837855159154;350;131.99865718558306;350;0.72168999020633284;350;1.4389477217932676;350;1.499984740745262
360;149.17447431867427;360;22.363963744010743;360;131.93762016663106;360;0.72137370747176344;360;1.4365062410351879;360;1.499984740745262
370;149.21109653004547;370;22.449415570543536;370;131.96203497421186;370;0.72109696007901525;370;1.4416943876461075;370;1.499984740745262
380;149.17447431867427;380;22.510452589495529;380;131.93762016663106;380;0.720859748028088;380;1.435590685750908;380;1.499984740745262
390;149.29654835657826;390;22.376171147801141;390;131.90099795525987;390;0.72062253597716108;390;1.4407788323618276;390;1.499984740745262
400;149.35758537553025;400;22.376171147801141;400;131.90099795525987;400;0.72030625324259168;400;1.4337595751823482;400;1.499984740745262
410;149.36979277932065;410;22.351756340220344;410;131.97424237800226;410;0.71998997050802227;410;1.4358958708456679;410;1.499984740745262
420;149.27213354899746;420;22.315134128849149;420;131.82775353251748;420;0.71975275845709519;420;1.4358958708456679;420;1.499984740745262
430;149.17447431867427;430;22.461622974333935;430;131.79113132114628;430;0.71939694038070456;430;1.4377269814142277;430;1.499984740745262
440;149.24771874141666;440;22.400585955381938;440;131.91320535905027;440;0.71908065764613516;440;1.4410840174565875;440;1.499984740745262
450;149.28434095278786;450;22.351756340220344;450;131.98644978179266;450;0.71872483956974453;450;1.4377269814142277;450;1.499984740745262
