Name;YT Scope Project;;;;;;;;;;
File;C:\Users\Tobno\Desktop\Test1\JibNed150bar\-95prosent.csv;;;;;;;;;;
Starttime of export;1,34212E+17;mandag 20. april 2026;13:26:07.716;;;;;;;;
Endtime of export;1,34212E+17;mandag 20. april 2026;13:26:19.806;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V
;;;;;;;;;;;
2990;141.55705435346536;2990;22.608111819818721;2990;128.141117587817;2990;0.38152790917691581;2990;0.15930661946470537;2990;0.249946592608417
3000;141.49601733451337;3000;22.644734031189916;3000;128.2143620105594;3000;0.38129069712598873;3000;0.17151402325510423;3000;0.249946592608417
3010;141.44718771935177;3010;22.595904416028318;3010;128.28760643330179;3010;0.38097441439141932;3010;0.16083254493850521;3010;0.249946592608417
3020;141.52043214209417;3020;22.559282204657123;3020;128.25098422193059;3020;0.38065813165684986;3020;0.15503402813806574;3020;0.249946592608417
3030;141.61809137241735;3030;22.522659993285927;3030;128.29981383709219;3030;0.38049999028956516;3030;0.16174810022278513;3030;0.249946592608417
3040;141.58146916104616;3040;22.559282204657123;3040;128.38526566362498;3040;0.3801837075549957;3040;0.16388439588610493;3040;0.249946592608417
3050;141.53263954588456;3050;22.559282204657123;3050;128.39747306741538;3050;0.37986742482042629;3050;0.15442365794854579;3050;0.249946592608417
3060;141.44718771935177;3060;22.608111819818721;3060;128.44630268257697;3060;0.37963021276949921;3060;0.14709921567430648;3060;0.249946592608417
3070;141.61809137241735;3070;22.656941434980315;3070;128.40968047120577;3070;0.37943253606039334;3070;0.16174810022278513;3070;0.249946592608417
3080;141.54484694967496;3080;22.608111819818721;3080;128.44630268257697;3080;0.37919532400946632;3080;0.15503402813806574;3080;0.249946592608417
3090;141.44718771935177;3090;22.632526627399518;3090;128.50733970152896;3090;0.378918576616718;3090;0.14923551133762628;3090;0.249946592608417
3100;141.59367656483656;3100;22.656941434980315;3100;128.37305825983458;3100;0.37864182922396977;3100;0.14709921567430648;3100;0.249946592608417
3110;141.61809137241735;3110;22.620319223609119;3110;128.29981383709219;3110;0.37840461717304275;3110;0.15625476851710562;3110;0.249946592608417
3120;141.59367656483656;3120;22.571489608447521;3120;128.34864345225378;3120;0.37816740512211566;3120;0.14618366039002656;3120;0.249946592608417
3130;141.67912839136935;3130;22.510452589495529;3130;128.38526566362498;3130;0.37785112238754626;3130;0.14069032868434705;3130;0.249946592608417
