Name;YT Scope Project;;;;;;;;;;
File;C:\Users\Tobno\Desktop\Kv Tester\MainNed150bar\-100prosent.csv;;;;;;;;;;
Starttime of export;1,34212E+17;tirsdag 21. april 2026;12:02:53.569;;;;;;;;
Endtime of export;1,34212E+17;tirsdag 21. april 2026;12:03:04.809;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V
;;;;;;;;;;;
2440;144.71877193517869;2440;38.685262611774043;2440;117.08120975371563;2440;0.51597085006745969;2440;0.11139255958738976;2440;0
2450;144.62111270485551;2450;38.856166264839622;2450;116.95913571581164;2450;0.51565450627026443;2450;0.1174962614825892;2450;0
2460;144.58449049348431;2460;38.843958861049224;2460;116.88589129306925;2460;0.51529861949841971;2460;0.11108737449262979;2460;0
2470;144.43800164799953;2470;38.831751457258825;2470;116.80043946653646;2470;0.51490318975192562;2470;0.11627552110354931;2470;0
2480;144.35254982146674;2480;38.856166264839622;2480;116.71498764000366;2480;0.51454730298008089;2480;0.11139255958738976;2480;0
2490;144.14502395702996;2490;38.868373668630021;2490;116.50746177556688;2490;0.51419141620823627;2490;0.11597033600878934;2490;0
2500;143.96191290017396;2500;38.892788476210818;2500;116.3731803338725;2500;0.51383552943639155;2500;0.11230811487166967;2500;0
2510;143.97412030396436;2510;38.95382549516281;2510;116.28772850733971;2510;0.51344009968989734;2510;0.11383404034546954;2510;0
2520;143.87646107364117;2520;38.929410687582013;2520;116.10461745048373;2520;0.51308421291805273;2520;0.11474959562974944;2520;0
2530;143.6323129978332;2530;39.051484725486006;2530;115.87267677846613;2530;0.51257015424761043;2530;0.11230811487166967;2530;0
2540;143.69335001678519;2540;39.112521744438;2540;115.81163975951414;2540;0.51225381045041518;2540;0.11627552110354931;2540;0
2550;143.5834833826716;2550;39.027069917905209;2550;115.66515091402935;2550;0.51189792367857045;2550;0.11047700430310983;2550;0
2560;143.48582415234841;2560;38.966032898953216;2560;115.49424726096377;2560;0.51142340798277752;2560;0.11627552110354931;2560;0
2570;143.44920194097722;2570;38.95382549516281;2570;115.3233436078982;2570;0.510988435261634;2570;0.11047700430310983;2570;0
2580;143.25388348033081;2580;39.027069917905209;2580;115.286721396527;2580;0.51063254848978934;2580;0.11566515091402937;2580;0
2590;143.15622425000763;2590;38.95382549516281;2590;115.164647358623;2590;0.51023711874329514;2590;0.11047700430310983;2590;0
2600;142.96090578936125;2600;38.95382549516281;2600;115.03036591692862;2600;0.50980214602215157;2600;0.11474959562974944;2600;0
2610;142.91207617419965;2610;39.002655110324412;2610;115.07919553209021;2610;0.509446259250307;2610;0.11535996581926938;2610;0
2620;142.94869838557085;2620;39.01486251411481;2620;114.99374370555742;2620;0.50905082950381286;2620;0.11566515091402937;2620;0
2630;143.15622425000763;2630;39.0758995330668;2630;115.01815851313822;2630;0.50869494273196814;2630;0.11688589129306926;2630;0
2640;143.20505386516922;2640;38.966032898953216;2640;114.95712149418623;2640;0.50829951298547416;2640;0.11017181920834987;2640;0
2650;143.05856501968444;2650;38.856166264839622;2650;114.95712149418623;2650;0.50794362621362943;2650;0.11597033600878934;2650;0
2660;143.04635761589404;2660;38.95382549516281;2660;115.00595110934782;2660;0.50754819646713534;2660;0.11017181920834987;2660;0
2670;143.14401684621723;2670;39.051484725486006;2670;115.05478072450941;2670;0.50715276672064125;2670;0.11566515091402937;2670;0
2680;143.26609088412121;2680;39.027069917905209;2680;115.06698812829981;2680;0.50671779399949768;2680;0.11078218939786982;2680;0
2690;143.42478713339642;2690;39.027069917905209;2690;115.1524399548326;2690;0.50632236425300359;2690;0.11383404034546954;2690;0
2700;143.51023895992921;2700;39.027069917905209;2700;115.2623065889462;2700;0.505966477481159;2700;0.11078218939786982;2700;0
2710;143.47361674855802;2710;39.063692129276404;2710;115.34775841547899;2710;0.50545241881071656;2710;0.1141392254402295;2710;0
