Name;YT Scope Project;;;;;;;;;;
File;C:\Users\Tobno\Desktop\Kv Tester\MainOpp150bar\-15prosent.csv;;;;;;;;;;
Starttime of export;1,34212E+17;tirsdag 21. april 2026;11:42:54.419;;;;;;;;
Endtime of export;1,34212E+17;tirsdag 21. april 2026;11:43:04.959;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V
;;;;;;;;;;;
2550;148.82045960875269;2550;0;2550;0.18311105685598317;2550;0.54349276042344963;2550;4.34949797051912;2550;4.250007629627369
2560;148.6983855708487;2560;0;2560;0.18311105685598317;2560;0.54349276042344963;2560;4.3504135258034;2560;4.250007629627369
2570;148.82045960875269;2570;0;2570;0.20752586443678089;2570;0.54357184637274836;2570;4.3504135258034;2570;4.250007629627369
2580;148.8937040314951;2580;0;2580;0.18311105685598317;2580;0.54345321744880015;2580;4.34705648976104;2580;4.250007629627369
2590;148.88149662770471;2590;0;2590;0.20752586443678089;2590;0.543532303398099;2590;4.3516342661824394;2590;4.250007629627369
2600;148.82045960875269;2600;0;2600;0.18311105685598317;2600;0.54361138934739783;2600;4.34766685995056;2600;4.250007629627369
2610;148.83266701254311;2610;0;2610;0.17090365306558428;2610;0.54361138934739783;2610;4.3513290810876795;2610;4.250007629627369
2620;148.6861781670583;2620;0;2620;0.17090365306558428;2620;0.54357184637274836;2620;4.34644611957152;2620;4.250007629627369
2630;148.7228003784295;2630;0;2630;0.17090365306558428;2630;0.543532303398099;2630;4.3507187108981595;2630;4.250007629627369
2640;148.80825220496229;2640;0;2640;0.15869624927518539;2640;0.54357184637274836;2640;4.34675130466628;2640;4.250007629627369
2650;148.7350077822199;2650;0;2650;0.15869624927518539;2650;0.54357184637274836;2650;4.34858241523484;2650;4.250007629627369
2660;148.77162999359109;2660;0;2660;0.18311105685598317;2660;0.54361138934739783;2660;4.34919278542436;2660;4.250007629627369
2670;148.80825220496229;2670;0;2670;0.18311105685598317;2670;0.54357184637274836;2670;4.34919278542436;2670;4.250007629627369
2680;148.86928922391431;2680;0;2680;0.17090365306558428;2680;0.54361138934739783;2680;4.3507187108981595;2680;4.250007629627369
2690;148.79604480117189;2690;0;2690;0.18311105685598317;2690;0.54357184637274836;2690;4.34675130466628;2690;4.250007629627369
2700;148.80825220496229;2700;0;2700;0.18311105685598317;2700;0.54357184637274836;2700;4.3516342661824394;2700;4.250007629627369
2710;148.6983855708487;2710;0;2710;0.18311105685598317;2710;0.54361138934739783;2710;4.34553056428724;2710;4.250007629627369
2720;148.77162999359109;2720;0;2720;0.18311105685598317;2720;0.54361138934739783;2720;4.3504135258034;2720;4.250007629627369
2730;148.86928922391431;2730;0;2730;0.18311105685598317;2730;0.54369047529669667;2730;4.34705648976104;2730;4.250007629627369
2740;148.82045960875269;2740;0;2740;0.17090365306558428;2740;0.54357184637274836;2740;4.3507187108981595;2740;4.250007629627369
2750;148.86928922391431;2750;0;2750;0.18311105685598317;2750;0.54357184637274836;2750;4.34858241523484;2750;4.250007629627369
2760;148.77162999359109;2760;0;2760;0.18311105685598317;2760;0.54361138934739783;2760;4.34919278542436;2760;4.250007629627369
2770;148.78383739738149;2770;0;2770;0.17090365306558428;2770;0.54357184637274836;2770;4.3504135258034;2770;4.250007629627369
2780;148.9303262428663;2780;0;2780;0.17090365306558428;2780;0.54357184637274836;2780;4.3473616748558;2780;4.250007629627369
2790;148.88149662770471;2790;0;2790;0.18311105685598317;2790;0.54361138934739783;2790;4.3513290810876795;2790;4.250007629627369
2800;148.7105929746391;2800;0;2800;0.18311105685598317;2800;0.54357184637274836;2800;4.34675130466628;2800;4.250007629627369
2810;148.80825220496229;2810;0;2810;0.18311105685598317;2810;0.543532303398099;2810;4.3504135258034;2810;4.250007629627369
2820;148.74721518601029;2820;0;2820;0.20752586443678089;2820;0.54357184637274836;2820;4.34522537919248;2820;4.250007629627369
2830;148.88149662770471;2830;0;2830;0.18311105685598317;2830;0.54357184637274836;2830;4.3504135258034;2830;4.250007629627369
2840;148.84487441633351;2840;0;2840;0.18311105685598317;2840;0.543532303398099;2840;4.34705648976104;2840;4.250007629627369
2850;148.83266701254311;2850;0;2850;0.17090365306558428;2850;0.543532303398099;2850;4.34919278542436;2850;4.250007629627369
2860;148.77162999359109;2860;0;2860;0.18311105685598317;2860;0.543532303398099;2860;4.34949797051912;2860;4.250007629627369
2870;148.74721518601029;2870;0;2870;0.17090365306558428;2870;0.543532303398099;2870;4.3488876003296;2870;4.250007629627369
2880;148.82045960875269;2880;0;2880;0.15869624927518539;2880;0.54361138934739783;2880;4.3516342661824394;2880;4.250007629627369
2890;148.74721518601029;2890;0;2890;0.14648884548478652;2890;0.54361138934739783;2890;4.34766685995056;2890;4.250007629627369
2900;148.74721518601029;2900;0;2900;0.15869624927518539;2900;0.54357184637274836;2900;4.3513290810876795;2900;4.250007629627369
2910;148.7228003784295;2910;0;2910;0.18311105685598317;2910;0.543532303398099;2910;4.34553056428724;2910;4.250007629627369
2920;148.8937040314951;2920;0;2920;0.18311105685598317;2920;0.54357184637274836;2920;4.3507187108981595;2920;4.250007629627369
2930;148.84487441633351;2930;0;2930;0.17090365306558428;2930;0.54357184637274836;2930;4.34553056428724;2930;4.250007629627369
2940;148.9303262428663;2940;0;2940;0.17090365306558428;2940;0.54357184637274836;2940;4.34919278542436;2940;4.250007629627369
2950;148.99136326181829;2950;0;2950;0.17090365306558428;2950;0.54357184637274836;2950;4.34766685995056;2950;4.250007629627369
2960;148.79604480117189;2960;0;2960;0.18311105685598317;2960;0.54357184637274836;2960;4.34858241523484;2960;4.250007629627369
2970;148.86928922391431;2970;0;2970;0.17090365306558428;2970;0.54361138934739783;2970;4.34980315561388;2970;4.250007629627369
2980;148.86928922391431;2980;0;2980;0.15869624927518539;2980;0.54357184637274836;2980;4.3473616748558;2980;4.250007629627369
2990;148.82045960875269;2990;0;2990;0.18311105685598317;2990;0.543532303398099;2990;4.3504135258034;2990;4.250007629627369
3000;148.80825220496229;3000;0;3000;0.18311105685598317;3000;0.543532303398099;3000;4.34644611957152;3000;4.250007629627369
3010;148.8937040314951;3010;0;3010;0.15869624927518539;3010;0.54357184637274836;3010;4.3507187108981595;3010;4.250007629627369
3020;148.83266701254311;3020;0;3020;0.17090365306558428;3020;0.54357184637274836;3020;4.34492019409772;3020;4.250007629627369
3030;148.9059114352855;3030;0;3030;0.18311105685598317;3030;0.54357184637274836;3030;4.34980315561388;3030;4.250007629627369
3040;148.9547410504471;3040;0;3040;0.18311105685598317;3040;0.54361138934739783;3040;4.34675130466628;3040;4.250007629627369
3050;148.83266701254311;3050;0;3050;0.15869624927518539;3050;0.54361138934739783;3050;4.34858241523484;3050;4.250007629627369
3060;148.6983855708487;3060;0;3060;0.17090365306558428;3060;0.54357184637274836;3060;4.34858241523484;3060;4.250007629627369
3070;148.62514114810631;3070;0;3070;0.18311105685598317;3070;0.543532303398099;3070;4.34858241523484;3070;4.250007629627369
3080;148.80825220496229;3080;0;3080;0.18311105685598317;3080;0.54361138934739783;3080;4.3513290810876795;3080;4.250007629627369
3090;148.79604480117189;3090;0;3090;0.18311105685598317;3090;0.543532303398099;3090;4.34644611957152;3090;4.250007629627369
3100;148.78383739738149;3100;0;3100;0.20752586443678089;3100;0.54349276042344963;3100;4.3504135258034;3100;4.250007629627369
3110;148.7350077822199;3110;0;3110;0.20752586443678089;3110;0.54357184637274836;3110;4.34492019409772;3110;4.250007629627369
3120;148.88149662770471;3120;0;3120;0.17090365306558428;3120;0.54357184637274836;3120;4.35010834070864;3120;4.250007629627369
3130;148.8937040314951;3130;0;3130;0.17090365306558428;3130;0.54361138934739783;3130;4.34644611957152;3130;4.250007629627369
3140;148.80825220496229;3140;0;3140;0.17090365306558428;3140;0.54357184637274836;3140;4.34949797051912;3140;4.250007629627369
3150;148.7228003784295;3150;0;3150;0.17090365306558428;3150;0.54357184637274836;3150;4.34675130466628;3150;4.250007629627369
3160;148.6861781670583;3160;0;3160;0.17090365306558428;3160;0.54357184637274836;3160;4.34797204504532;3160;4.250007629627369
3170;148.86928922391431;3170;0;3170;0.17090365306558428;3170;0.54357184637274836;3170;4.3513290810876795;3170;4.250007629627369
3180;148.86928922391431;3180;0;3180;0.20752586443678089;3180;0.54357184637274836;3180;4.34858241523484;3180;4.250007629627369
3190;148.9303262428663;3190;0;3190;0.20752586443678089;3190;0.54357184637274836;3190;4.3513290810876795;3190;4.250007629627369
3200;148.9181188390759;3200;0;3200;0.18311105685598317;3200;0.543532303398099;3200;4.34522537919248;3200;4.250007629627369
3210;148.8937040314951;3210;0;3210;0.18311105685598317;3210;0.543532303398099;3210;4.3504135258034;3210;4.250007629627369
3220;148.7228003784295;3220;0;3220;0.18311105685598317;3220;0.54357184637274836;3220;4.34553056428724;3220;4.250007629627369
3230;148.74721518601029;3230;0;3230;0.17090365306558428;3230;0.54357184637274836;3230;4.34980315561388;3230;4.250007629627369
3240;148.78383739738149;3240;0;3240;0.17090365306558428;3240;0.54361138934739783;3240;4.3473616748558;3240;4.250007629627369
3250;148.7105929746391;3250;0;3250;0.17090365306558428;3250;0.54357184637274836;3250;4.34949797051912;3250;4.250007629627369
