Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\MainNed\-20prosent.csv;
Starttime of export;134214171997500000;torsdag 23. april 2026;13:26:39.750
Endtime of export;134214172070933872;torsdag 23. april 2026;13:26:47.093


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;152.88552507095554;0;0;0;0.57374797814874723;0;510.31620469259394;0;4.000061037018952;0;4.0958891567735831
10;152.97097689748833;10;0;10;0.53712576677755064;10;510.31620469259394;10;4.000061037018952;10;4.0995513779107027
20;152.94656208990753;20;0;20;0.46388134403515735;20;510.31620469259394;20;4.000061037018952;20;4.0961943418683431
30;153.01980651264992;30;0;30;0.5127109591967528;30;510.31620469259394;30;4.000061037018952;30;4.1001617481002226
40;153.01980651264992;40;0;40;0.52491836298715167;40;510.27666171794453;40;4.000061037018952;40;4.0958891567735831
50;153.00759910885952;50;0;50;0.50050355540635394;50;510.27666171794453;50;4.000061037018952;50;4.0986358226264228
60;152.99539170506912;60;0;60;0.45167394024475843;60;510.35574766724341;60;4.000061037018952;60;4.096804712057863
70;152.94656208990753;70;0;70;0.43946653645435957;70;510.31620469259394;70;4.000061037018952;70;4.097109897152623
80;152.89773247474594;80;0.024414807580797754;80;0.52491836298715167;80;510.27666171794453;80;4.000061037018952;80;4.0983306375316628
90;152.97097689748833;90;0;90;0.5493331705679495;90;510.27666171794453;90;4.000061037018952;90;4.096804712057863
100;153.04422132023072;100;0;100;0.5493331705679495;100;510.27666171794453;100;4.000061037018952;100;4.0995513779107027
110;152.92214728232673;110;0;110;0.53712576677755064;110;510.27666171794453;110;4.000061037018952;110;4.0952787865840632
120;152.98318430127873;120;0;120;0.52491836298715167;120;510.35574766724341;120;4.000061037018952;120;4.0998565630054626
130;152.98318430127873;130;0;130;0.5493331705679495;130;510.35574766724341;130;4.000061037018952;130;4.0958891567735831
140;153.10525833918271;140;0;140;0.52491836298715167;140;510.27666171794453;140;4.000061037018952;140;4.0977202673421429
150;153.11746574297311;150;0.024414807580797754;150;0.47608874782555621;150;510.27666171794453;150;4.000061037018952;150;4.0949736014893032
160;153.01980651264992;160;0;160;0.53712576677755064;160;510.31620469259394;160;4.000061037018952;160;4.0974150822473829
170;153.11746574297311;170;0;170;0.5493331705679495;170;510.35574766724341;170;4.000061037018952;170;4.0974150822473829
180;153.01980651264992;180;0.012207403790398877;180;0.52491836298715167;180;510.31620469259394;180;4.000061037018952;180;4.0958891567735831
190;153.00759910885952;190;0;190;0.57374797814874723;190;510.27666171794453;190;4.000061037018952;190;4.0983306375316628
200;152.90993987853633;200;0;200;0.57374797814874723;200;510.27666171794453;200;4.000061037018952;200;4.0961943418683431
210;152.95876949369793;210;0.012207403790398877;210;0.53712576677755064;210;510.31620469259394;210;4.000061037018952;210;4.0995513779107027
220;152.95876949369793;220;0.024414807580797754;220;0.5127109591967528;220;510.39529064189281;220;4.000061037018952;220;4.0952787865840632
230;153.04422132023072;230;0;230;0.52491836298715167;230;510.31620469259394;230;4.000061037018952;230;4.0995513779107027
240;152.92214728232673;240;0;240;0.57374797814874723;240;510.31620469259394;240;4.000061037018952;240;4.0958891567735831
250;152.95876949369793;250;0;250;0.57374797814874723;250;510.35574766724341;250;4.000061037018952;250;4.0974150822473829
260;153.10525833918271;260;0;260;0.62257759331034268;260;510.31620469259394;260;4.000061037018952;260;4.096804712057863
270;153.06863612781152;270;0;270;0.57374797814874723;270;510.31620469259394;270;4.000061037018952;270;4.0977202673421429
280;153.00759910885952;280;0;280;0.56154057435834837;280;510.31620469259394;280;4.000061037018952;280;4.0983306375316628
290;152.99539170506912;290;0;290;0.62257759331034268;290;510.31620469259394;290;4.000061037018952;290;4.096804712057863
300;152.95876949369793;300;0;300;0.64699240089114041;300;510.31620469259394;300;4.000061037018952;300;4.1001617481002226
310;152.88552507095554;310;0;310;0.62257759331034268;310;510.27666171794453;310;4.000061037018952;310;4.0961943418683431
320;153.08084353160191;320;0;320;0.5493331705679495;320;510.35574766724341;320;4.000061037018952;320;4.0986358226264228
330;153.05642872402112;330;0;330;0.5493331705679495;330;510.35574766724341;330;4.000061037018952;330;4.0952787865840632
340;153.00759910885952;340;0;340;0.57374797814874723;340;510.27666171794453;340;4.000061037018952;340;4.0992461928159427
350;152.97097689748833;350;0;350;0.52491836298715167;350;510.31620469259394;350;4.000061037018952;350;4.0961943418683431
360;153.00759910885952;360;0;360;0.50050355540635394;360;510.35574766724341;360;4.000061037018952;360;4.0977202673421429
370;153.10525833918271;370;0;370;0.53712576677755064;370;510.35574766724341;370;4.000061037018952;370;4.0980254524369029
380;152.94656208990753;380;0;380;0.5127109591967528;380;510.31620469259394;380;4.000061037018952;380;4.097109897152623
390;152.87331766716514;390;0;390;0.56154057435834837;390;510.27666171794453;390;4.000061037018952;390;4.0986358226264228
400;153.00759910885952;400;0;400;0.63478499710074154;400;510.27666171794453;400;4.000061037018952;400;4.0958891567735831
410;152.97097689748833;410;0;410;0.61037018951994382;410;510.27666171794453;410;4.000061037018952;410;4.1007721182897425
420;152.88552507095554;420;0;420;0.56154057435834837;420;510.27666171794453;420;4.000061037018952;420;4.0958891567735831
430;153.09305093539231;430;0;430;0.5493331705679495;430;510.31620469259394;430;4.000061037018952;430;4.0983306375316628
440;153.1662953581347;440;0;440;0.53712576677755064;440;510.31620469259394;440;4.000061037018952;440;4.0955839716788232
450;153.08084353160191;450;0;450;0.56154057435834837;450;510.27666171794453;450;4.000061037018952;450;4.0983306375316628
460;152.88552507095554;460;0;460;0.598162785729545;460;510.27666171794453;460;4.000061037018952;460;4.0974150822473829
470;152.82448805200355;470;0;470;0.56154057435834837;470;510.31620469259394;470;4.000061037018952;470;4.096804712057863
480;152.87331766716514;480;0;480;0.61037018951994382;480;510.39529064189281;480;4.000061037018952;480;4.0983306375316628
490;152.94656208990753;490;0;490;0.63478499710074154;490;510.39529064189281;490;4.000061037018952;490;4.097109897152623
500;152.99539170506912;500;0;500;0.62257759331034268;500;510.35574766724341;500;4.000061037018952;500;4.1001617481002226
510;152.94656208990753;510;0;510;0.62257759331034268;510;510.31620469259394;510;4.000061037018952;510;4.0958891567735831
520;152.83669545579394;520;0;520;0.57374797814874723;520;510.27666171794453;520;4.000061037018952;520;4.0995513779107027
530;152.72682882168033;530;0.024414807580797754;530;0.56154057435834837;530;510.31620469259394;530;4.000061037018952;530;4.0958891567735831
540;152.86111026337474;540;0;540;0.598162785729545;540;510.35574766724341;540;4.000061037018952;540;4.0992461928159427
550;152.86111026337474;550;0;550;0.5493331705679495;550;510.39529064189281;550;4.000061037018952;550;4.0961943418683431
560;152.76345103305155;560;0;560;0.5493331705679495;560;510.31620469259394;560;4.000061037018952;560;4.0986358226264228
570;152.77565843684195;570;0;570;0.57374797814874723;570;510.27666171794453;570;4.000061037018952;570;4.0986358226264228
580;152.78786584063235;580;0;580;0.56154057435834837;580;510.31620469259394;580;4.000061037018952;580;4.097109897152623
590;152.94656208990753;590;0;590;0.598162785729545;590;510.35574766724341;590;4.000061037018952;590;4.0998565630054626
600;152.97097689748833;600;0;600;0.63478499710074154;600;510.35574766724341;600;4.000061037018952;600;4.0961943418683431
610;152.88552507095554;610;0.024414807580797754;610;0.63478499710074154;610;510.39529064189281;610;4.000061037018952;610;4.0995513779107027
620;152.83669545579394;620;0;620;0.62257759331034268;620;510.35574766724341;620;4.000061037018952;620;4.0958891567735831
630;152.90993987853633;630;0;630;0.62257759331034268;630;510.39529064189281;630;4.000061037018952;630;4.0995513779107027
640;152.90993987853633;640;0;640;0.62257759331034268;640;510.35574766724341;640;4.000061037018952;640;4.096804712057863
650;152.94656208990753;650;0;650;0.67140720847193835;650;510.27666171794453;650;4.000061037018952;650;4.0983306375316628
660;152.99539170506912;660;0;660;0.73244422742393267;660;510.31620469259394;660;4.000061037018952;660;4.0980254524369029
670;153.06863612781152;670;0;670;0.70802941984313483;670;510.27666171794453;670;4.000061037018952;670;4.0983306375316628
680;153.05642872402112;680;0;680;0.64699240089114041;680;510.27666171794453;680;4.000061037018952;680;4.0992461928159427
690;152.86111026337474;690;0;690;0.67140720847193835;690;510.27666171794453;690;4.000061037018952;690;4.0974150822473829
700;152.90993987853633;700;0;700;0.70802941984313483;700;510.27666171794453;700;4.000061037018952;700;4.1004669331949826
710;152.94656208990753;710;0;710;0.67140720847193835;710;510.23711874329518;710;4.000061037018952;710;4.096804712057863
720;152.98318430127873;720;0;720;0.64699240089114041;720;510.23711874329518;720;4.000061037018952;720;4.0995513779107027
730;152.94656208990753;730;0;730;0.61037018951994382;730;510.31620469259394;730;4.000061037018952;730;4.0961943418683431
740;152.99539170506912;740;0;740;0.61037018951994382;740;510.35574766724341;740;4.000061037018952;740;4.1001617481002226
750;153.05642872402112;750;0.012207403790398877;750;0.64699240089114041;750;510.39529064189281;750;4.000061037018952;750;4.0977202673421429
760;153.04422132023072;760;0;760;0.65919980468153938;760;510.39529064189281;760;4.000061037018952;760;4.0980254524369029
770;153.04422132023072;770;0;770;0.67140720847193835;770;510.35574766724341;770;4.000061037018952;770;4.0983306375316628
