Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\MainNed\-21-4prosent.csv;
Starttime of export;134214179036100000;torsdag 23. april 2026;13:38:23.610
Endtime of export;134214179199156395;torsdag 23. april 2026;13:38:39.915


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;153.04422132023072;0;0;0;6.09149449140904;0;504.9383601402742;0;3.9301736503189182;0;4.0287484359263894
10;153.14188055055391;10;0;10;6.1281167027802361;10;504.81973121632592;10;3.9301736503189182;10;4.032105471968749
20;153.09305093539231;20;0.012207403790398877;20;6.152531510361035;20;504.89881716562479;20;3.9301736503189182;20;4.0296639912106693
30;153.05642872402112;30;0.012207403790398877;30;6.152531510361035;30;504.81973121632592;30;3.9301736503189182;30;4.0305795464949492
40;152.95876949369793;40;0.024414807580797754;40;6.2135685293130276;40;504.9383601402742;40;3.9301736503189182;40;4.0299691763054293
50;153.05642872402112;50;0.012207403790398877;50;6.2746055482650238;50;504.89881716562479;50;3.9301736503189182;50;4.0296639912106693
60;153.11746574297311;60;0;60;6.3356425672170174;60;504.89881716562479;60;3.9301736503189182;60;4.0314951017792291
70;152.98318430127873;70;0;70;6.3478499710074159;70;504.81973121632592;70;3.9301736503189182;70;4.0296639912106693
80;153.08084353160191;80;0;80;6.3356425672170174;80;504.81973121632592;80;3.9301736503189182;80;4.0314951017792291
90;152.99539170506912;90;0;90;6.2746055482650238;90;504.81973121632592;90;3.9301736503189182;90;4.0281380657368695
100;152.94656208990753;100;0;100;6.3478499710074159;100;504.78018824167657;100;3.9301736503189182;100;4.0330210272530289
110;152.90993987853633;110;0;110;6.4821314127018042;110;504.81973121632592;110;3.9301736503189182;110;4.0302743614001892
120;152.90993987853633;120;0;120;6.4699240089114056;120;504.89881716562479;120;3.9301736503189182;120;4.032105471968749
130;152.92214728232673;130;0;130;6.5065462202826012;130;504.9383601402742;130;3.9301736503189182;130;4.0299691763054293
140;153.05642872402112;140;0;140;6.4943388164922027;140;504.9383601402742;140;3.9301736503189182;140;4.0311899166844691
150;153.06863612781152;150;0.012207403790398877;150;6.5187536240730006;150;504.97790311492355;150;3.9301736503189182;150;4.0308847315897092
160;153.00759910885952;160;0.024414807580797754;160;6.5797906430249951;160;504.89881716562479;160;3.9301736503189182;160;4.0290536210211494
170;153.11746574297311;170;0.012207403790398877;170;6.62862025818659;170;504.89881716562479;170;3.9301736503189182;170;4.0314951017792291
180;153.05642872402112;180;0;180;6.6652424695577874;180;504.81973121632592;180;3.9301736503189182;180;4.0284432508316295
190;152.94656208990753;190;0;190;6.6652424695577874;190;504.81973121632592;190;3.9301736503189182;190;4.032105471968749
200;152.80007324442275;200;0;200;6.701864680928983;200;504.9383601402742;200;3.9301736503189182;200;4.0281380657368695
210;152.86111026337474;210;0.012207403790398877;210;6.6652424695577874;210;504.89881716562479;210;3.9301736503189182;210;4.032410657063509
220;152.83669545579394;220;0;220;6.677449873348186;220;504.89881716562479;220;3.9301736503189182;220;4.0299691763054293
230;153.06863612781152;230;0;230;6.62862025818659;230;504.89881716562479;230;3.9301736503189182;230;4.0311899166844691
240;153.14188055055391;240;0.012207403790398877;240;6.6408276619769886;240;504.89881716562479;240;3.9301736503189182;240;4.0308847315897092
250;152.99539170506912;250;0;250;6.7751091036713769;250;504.89881716562479;250;3.9301736503189182;250;4.0305795464949492
260;153.14188055055391;260;0;260;6.8239387188329728;260;504.81973121632592;260;3.9301736503189182;260;4.0314951017792291
270;152.99539170506912;270;0;270;6.84835352641377;270;504.81973121632592;270;3.9301736503189182;270;4.0287484359263894
280;152.97097689748833;280;0;280;6.84835352641377;280;504.81973121632592;280;3.9301736503189182;280;4.0330210272530289
290;152.97097689748833;290;0;290;6.8239387188329728;290;504.81973121632592;290;3.9301736503189182;290;4.0299691763054293
300;153.04422132023072;300;0;300;6.84835352641377;300;504.89881716562479;300;3.9301736503189182;300;4.032105471968749
310;153.06863612781152;310;0;310;6.8727683339945678;310;504.97790311492355;310;3.9301736503189182;310;4.0281380657368695
320;152.92214728232673;320;0;320;6.84835352641377;320;504.9383601402742;320;3.9301736503189182;320;4.0311899166844691
330;152.86111026337474;330;0.012207403790398877;330;6.84835352641377;330;504.9383601402742;330;3.9301736503189182;330;4.0299691763054293
340;152.97097689748833;340;0.012207403790398877;340;6.8727683339945678;340;504.89881716562479;340;3.9301736503189182;340;4.0296639912106693
350;153.04422132023072;350;0;350;6.9826349681081572;350;504.81973121632592;350;3.9301736503189182;350;4.0302743614001892
360;152.98318430127873;360;0;360;7.0314645832697531;360;504.81973121632592;360;3.9301736503189182;360;4.0305795464949492
370;152.99539170506912;370;0;370;7.0192571794793546;370;504.81973121632592;370;3.9301736503189182;370;4.032410657063509
380;152.90993987853633;380;0;380;7.0192571794793546;380;504.78018824167657;380;3.9301736503189182;380;4.0281380657368695
390;152.97097689748833;390;0;390;7.0680867946409505;390;504.81973121632592;390;3.9301736503189182;390;4.032410657063509
400;152.87331766716514;400;0;400;7.2145756401257364;400;504.89881716562479;400;3.9301736503189182;400;4.0290536210211494
410;152.89773247474594;410;0;410;7.17795342875454;410;504.81973121632592;410;3.9301736503189182;410;4.0311899166844691
420;153.01980651264992;420;0.012207403790398877;420;7.1413312173833425;420;504.81973121632592;420;3.9301736503189182;420;4.0284432508316295
430;153.01980651264992;430;0.012207403790398877;430;7.1657460249641414;430;504.81973121632592;430;3.9301736503189182;430;4.0308847315897092
440;152.95876949369793;440;0.024414807580797754;440;7.2023682363353378;440;504.81973121632592;440;3.9301736503189182;440;4.0302743614001892
450;153.00759910885952;450;0;450;7.129123813592944;450;504.81973121632592;450;3.9301736503189182;450;4.0296639912106693
460;153.14188055055391;460;0;460;7.129123813592944;460;504.81973121632592;460;3.9301736503189182;460;4.0314951017792291
470;153.05642872402112;470;0.012207403790398877;470;7.2389904477065334;470;504.74064526702711;470;3.9301736503189182;470;4.0305795464949492
480;152.97097689748833;480;0;480;7.2634052552873323;480;504.81973121632592;480;3.9301736503189182;480;4.0330210272530289
490;152.92214728232673;490;0;490;7.3244422742393258;490;504.9383601402742;490;3.9301736503189182;490;4.0278328806421095
500;153.04422132023072;500;0.036622211371196631;500;7.2878200628681293;500;504.89881716562479;500;3.9301736503189182;500;4.032410657063509
510;153.01980651264992;510;0.024414807580797754;510;7.3366496780297243;510;504.81973121632592;510;3.9301736503189182;510;4.0299691763054293
520;153.06863612781152;520;0.012207403790398877;520;7.4221015045625176;520;504.81973121632592;520;3.9301736503189182;520;4.0305795464949492
530;153.08084353160191;530;0.012207403790398877;530;7.4709311197241126;530;504.89881716562479;530;3.9301736503189182;530;4.0281380657368695
540;153.06863612781152;540;0;540;7.4343089083529161;540;504.78018824167657;540;3.9301736503189182;540;4.0308847315897092
550;152.90993987853633;550;0.012207403790398877;550;7.4221015045625176;550;504.81973121632592;550;3.9301736503189182;550;4.0314951017792291
