Name;YT Scope Project;;;;;;;;;;
File;C:\Users\Tobno\Desktop\Kv Tester\MainOpp150bar\90prosent.csv;;;;;;;;;;
Starttime of export;1,34212E+17;tirsdag 21. april 2026;11:31:51.169;;;;;;;;
Endtime of export;1,34212E+17;tirsdag 21. april 2026;11:32:00.809;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V
;;;;;;;;;;;
2310;139.82360301522874;2310;81.460005493331721;2310;17.578661458174384;2310;0.12338819774811102;2310;9.4112979522080149;2310;9.500106814783166
2320;140.1409955137791;2320;81.728568376720489;2320;17.603076265755181;2320;0.12370454154530629;2320;9.4192327646717739;2320;9.500106814783166
2330;140.4217658009583;2330;81.88726462599567;2330;17.639698477126377;2330;0.124060428317151;2330;9.3862727744376961;2330;9.500106814783166
2340;140.53163243507188;2340;82.009338663899655;2340;17.627491073335978;2340;0.12441631508899567;2340;9.3865779595324561;2340;9.500106814783166
2350;140.3607287820063;2350;82.192449720755633;2350;17.554246650593587;2350;0.124732658886191;2350;9.4265572069460131;2350;9.500106814783166
2360;140.70253608813746;2360;82.277901547288437;2360;17.651905880916775;2360;0.12504900268338628;2360;9.4033631397442559;2360;9.500106814783166
2370;140.98330637531663;2370;82.192449720755633;2370;17.72515030365917;2370;0.12540488945523098;2370;9.3743705557420576;2370;9.500106814783166
2380;141.03213599047822;2380;82.106997894222843;2380;17.627491073335978;2380;0.12580031920172507;2380;9.3987853633228564;2380;9.500106814783166
2390;141.117587817011;2390;82.192449720755633;2390;17.749565111239967;2390;0.12619574894821917;2390;9.4277779473250529;2390;9.500106814783166
2400;141.09317300943022;2400;82.192449720755633;2400;17.83501693777276;2400;0.12655163572006387;2400;9.3963438825647767;2400;9.500106814783166
2410;141.05655079805902;2410;82.094790490432445;2410;17.883846552934354;2410;0.12690752249190854;2410;9.3816949980162967;2410;9.500106814783166
2420;140.84902493362225;2420;81.948301644947662;2420;17.969298379467148;2420;0.12730295223840268;2420;9.4143498031556145;2420;9.500106814783166
2430;140.81240272225105;2430;81.875057222205271;2430;18.018127994628745;2430;0.12765883901024735;2430;9.4137394329660946;2430;9.500106814783166
2440;140.70253608813746;2440;81.789605395672481;2440;18.103579821161535;2440;0.12797518280744266;2440;9.387798699911496;2440;9.500106814783166
2450;140.60487685781428;2450;81.521042512283714;2450;18.201239051484723;2450;0.12841015552858615;2450;9.3923764763328954;2450;9.500106814783166
2460;140.23865474410232;2460;81.179235206152526;2460;18.237861262855922;2460;0.12880558527508024;2460;9.4259468367564931;2460;9.500106814783166
2470;140.1654103213599;2470;80.849635303811752;2470;18.225653859065524;2470;0.12912192907227552;2470;9.4036683248390158;2470;9.500106814783166
2480;140.06775109103671;2480;80.544450209051789;2480;18.176824243903926;2480;0.12943827286947079;2480;9.3816949980162967;2480;9.500106814783166
2490;139.84801782280954;2490;80.373546555986209;2490;18.225653859065524;2490;0.12979415964131555;2490;9.402142399365216;2490;9.500106814783166
2500;139.66490676595356;2500;80.324716940824615;2500;18.359935300759911;2500;0.13011050343851083;2500;9.4207586901455738;2500;9.500106814783166
2510;139.48179570909758;2510;80.239265114291811;2510;18.335520493179114;2510;0.13038730426105669;2510;9.3957335123752568;2510;9.500106814783166
2520;139.45738090151679;2520;80.16602069154942;2520;18.298898281807915;2520;0.13078273400755078;2520;9.3865779595324561;2520;9.500106814783166
2530;139.16440321054719;2530;80.019531846064638;2530;18.225653859065524;2530;0.13117816375404487;2530;9.4152653584398944;2530;9.500106814783166
2540;139.1033661915952;2540;79.885250404370254;2540;18.225653859065524;2540;0.13157359350053896;2540;9.4097720267342151;2540;9.500106814783166
2550;139.05453657643361;2550;79.885250404370254;2550;18.26227607043672;2550;0.13196902324703308;2550;9.3908505508590956;2550;9.500106814783166
2560;138.94466994232002;2560;79.995117038483841;2560;18.250068666646321;2560;0.13228536704422841;2560;9.3945127719962152;2560;9.500106814783166
2570;138.83480330820643;2570;79.836420789208645;2570;18.250068666646321;2570;0.13260171084142366;2570;9.418622394482254;2570;9.500106814783166
2580;138.89584032715842;2580;79.824213385418247;2580;18.115787224951934;2580;0.13287851166396952;2580;9.4006164738914162;2580;9.500106814783166
2590;138.95687734611042;2590;79.946287423322246;2590;18.030335398419144;2590;0.13323439843581422;2590;9.3868831446272161;2590;9.500106814783166
2600;139.03012176885281;2600;80.068361461226232;2600;18.030335398419144;2600;0.1335507422330095;2600;9.402142399365216;2600;9.500106814783166
2610;139.066743980224;2610;80.178228095339819;2610;18.018127994628745;2610;0.133985714954153;2610;9.4109927671132549;2610;9.500106814783166
2620;139.127780999176;2620;80.263679921872608;2620;17.932676168095952;2620;0.1343811447006471;2620;9.3960386974700167;2620;9.500106814783166
2630;139.40855128635516;2630;80.458998382519;2630;17.932676168095952;2630;0.1347370314724918;2630;9.3899349955748157;2630;9.500106814783166
2640;139.50621051667838;2640;80.581072420422984;2640;17.981505783257546;2640;0.13505337526968719;2640;9.410687582018495;2640;9.500106814783166
2650;139.59166234321117;2650;80.739768669698165;2650;17.908261360515151;2650;0.13536971906688244;2650;9.401837214270456;2650;9.500106814783166
2660;139.54283272804958;2660;80.86184270760215;2660;17.871639149143956;2660;0.13572560583872714;2660;9.3908505508590956;2660;9.500106814783166
2670;139.73815118869595;2670;81.03274636066773;2670;18.005920590838343;2670;0.13608149261057181;2670;9.3932920316171753;2670;9.500106814783166
2680;139.97009186071352;2680;81.301309244056512;2680;17.957090975676749;2680;0.13647692235706593;2680;9.4061098055970955;2680;9.500106814783166
2690;140.09216589861751;2690;81.325724051637309;2690;17.871639149143956;2690;0.13671418020496237;2690;9.3942075869014552;2690;9.500106814783166
2700;140.1654103213599;2700;81.325724051637309;2700;17.83501693777276;2700;0.13707006697680707;2700;9.387798699911496;2700;9.500106814783166
2710;140.2020325327311;2710;81.228064821314121;2710;17.81060213019196;2710;0.13746549672330122;2710;9.3978698080385765;2710;9.500106814783166
