Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\MainOpp\23-6prosent.csv;
Starttime of export;134214199285600000;torsdag 23. april 2026;14:12:08.560
Endtime of export;134214199411782702;torsdag 23. april 2026;14:12:21.178


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;153.11746574297311;0;67.775505844294571;0;0.18311105685598317;0;89.341696574968466;0;6.1799981688894317;0;6.0722678304391611
10;153.26395458845789;10;67.897579882198556;10;0.20752586443678089;10;89.341696574968466;10;6.1799981688894317;10;6.0722678304391611
20;153.14188055055391;20;67.885372478408158;20;0.20752586443678089;20;89.341696574968466;20;6.1799981688894317;20;6.072878200628681
30;153.1907101657155;30;67.799920651875368;30;0.17090365306558428;30;89.302153600319059;30;6.1799981688894317;30;6.0704367198706013
40;153.09305093539231;40;67.897579882198556;40;0.17090365306558428;40;89.341696574968466;40;6.1799981688894317;40;6.0734885708182009
50;153.11746574297311;50;67.873165074617759;50;0.18311105685598317;50;89.341696574968466;50;6.1799981688894317;50;6.0716574602496411
60;153.1785027619251;60;67.983031708731346;60;0.20752586443678089;60;89.381239549617874;60;6.1799981688894317;60;6.0710470900601212
70;153.08084353160191;70;67.94640949736015;70;0.20752586443678089;70;89.381239549617874;70;6.1799981688894317;70;6.0707419049653613
80;153.1907101657155;80;68.019653920102542;80;0.21973326822717978;80;89.381239549617874;80;6.1799981688894317;80;6.0722678304391611
90;153.1785027619251;90;68.105105746635331;90;0.20752586443678089;90;89.381239549617874;90;6.1799981688894317;90;6.0719626453444011
100;153.14188055055391;100;68.019653920102542;100;0.20752586443678089;100;89.381239549617874;100;6.1799981688894317;100;6.0704367198706013
110;153.04422132023072;110;68.056276131473737;110;0.20752586443678089;110;89.381239549617874;110;6.1799981688894317;110;6.072878200628681
120;153.05642872402112;120;68.141727958006527;120;0.18311105685598317;120;89.381239549617874;120;6.1799981688894317;120;6.0716574602496411
130;152.97097689748833;130;68.153935361796925;130;0.21973326822717978;130;89.420782524267281;130;6.1799981688894317;130;6.0716574602496411
140;153.04422132023072;140;68.178350169377737;140;0.23194067201757868;140;89.341696574968466;140;6.1799981688894317;140;6.0704367198706013
150;153.06863612781152;150;68.288216803491324;150;0.23194067201757868;150;89.341696574968466;150;6.1799981688894317;150;6.0740989410077209
160;153.05642872402112;160;68.288216803491324;160;0.18311105685598317;160;89.341696574968466;160;6.1799981688894317;160;6.0710470900601212
170;153.08084353160191;170;68.349253822443316;170;0.21973326822717978;170;89.341696574968466;170;6.1799981688894317;170;6.0707419049653613
180;153.06863612781152;180;68.300424207281722;180;0.20752586443678089;180;89.341696574968466;180;6.1799981688894317;180;6.0710470900601212
190;153.11746574297311;190;68.337046418652918;190;0.17090365306558428;190;89.381239549617874;190;6.1799981688894317;190;6.0719626453444011
200;153.06863612781152;200;68.202764976958534;200;0.21973326822717978;200;89.381239549617874;200;6.1799981688894317;200;6.072573015533921
210;153.1785027619251;210;68.178350169377737;210;0.24414807580797754;210;89.381239549617874;210;6.1799981688894317;210;6.0707419049653613
220;153.11746574297311;220;68.166142765587338;220;0.20752586443678089;220;89.381239549617874;220;6.1799981688894317;220;6.073183385723441
230;153.14188055055391;230;68.190557573168135;230;0.20752586443678089;230;89.381239549617874;230;6.1799981688894317;230;6.0716574602496411
240;153.09305093539231;240;68.288216803491324;240;0.20752586443678089;240;89.381239549617874;240;6.1799981688894317;240;6.0722678304391611
250;153.25174718466749;250;68.227179784539331;250;0.18311105685598317;250;89.341696574968466;250;6.1799981688894317;250;6.0707419049653613
260;153.27616199224829;260;68.251594592120128;260;0.21973326822717978;260;89.420782524267281;260;6.1799981688894317;260;6.073183385723441
270;153.2395397808771;270;68.092898342844933;270;0.23194067201757868;270;89.341696574968466;270;6.1799981688894317;270;6.0719626453444011
