Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibNed180bar\-55prosent.csv;
Starttime of export;134213180172230000;onsdag 22. april 2026;09:53:37.223
Endtime of export;134213180248514020;onsdag 22. april 2026;09:53:44.851


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;176.06738486892303;0;27.112643818475906;0;139.73815118869595;0;0.71761784999875144;0;2.2208319345683156;0;2.250129703665273
10;176.17725150303662;10;27.051606799523913;10;139.77477340006715;10;0.717301567264182;10;2.226325266273995;10;2.250129703665273
20;176.04297006134223;20;27.014984588152714;20;139.82360301522874;20;0.71694574918779153;20;2.2190008239997558;20;2.250129703665273
30;176.22608111819821;30;27.063814203314312;30;139.92126224555193;30;0.7165899311114009;30;2.2232734153263953;30;2.250129703665273
40;176.15283669545582;40;27.088229010895109;40;139.89684743797113;40;0.7162736483768315;40;2.2202215643787957;40;2.250129703665273
50;176.11621448408462;50;27.1614734336375;50;139.83581041901914;50;0.71591783030044087;50;2.2226630451368754;50;2.250129703665273
60;176.22608111819821;60;27.1736808374279;60;139.83581041901914;60;0.71560154756587147;60;2.2217474898525955;60;2.250129703665273
70;176.20166631061741;70;27.1736808374279;70;139.79918820764794;70;0.71520619414765974;70;2.2235786004211553;70;2.250129703665273
80;176.2871181371502;80;27.246925260170297;80;139.83581041901914;80;0.71496898209673265;80;2.2269356364635149;80;2.250129703665273
90;176.21387371440781;90;27.222510452589493;90;139.84801782280954;90;0.71457362867852092;90;2.2229682302316354;90;2.250129703665273
100;176.21387371440781;100;27.320169682912688;100;139.89684743797113;100;0.7142573459439514;100;2.2254097109897151;100;2.250129703665273
110;176.12842188787502;110;27.259132663960695;110;139.99450666829432;110;0.71402013389302432;110;2.218085268715476;110;2.250129703665273
120;176.22608111819821;120;27.1492660298471;120;140.01892147587512;120;0.71374338650027613;120;2.2229682302316354;120;2.250129703665273
130;176.22608111819821;130;27.222510452589493;130;139.78698080385755;130;0.71330849774024319;130;2.2186956389049959;130;2.250129703665273
