Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibOpp180bar\30prosent.csv;
Starttime of export;134213151207030000;onsdag 22. april 2026;09:05:20.703
Endtime of export;134213151269428922;onsdag 22. april 2026;09:05:26.942


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;176.75099948118535;0;69.17935728019043;0;2.9175695059053313;0;0.10683635420336982;0;6.475417340617085;0;6.500137333292642
10;176.92190313425093;10;69.167149876400032;10;2.8931546983245338;10;0.106875889545191;10;6.4766380809961248;10;6.500137333292642
20;176.71437726981415;20;69.17935728019043;20;2.9908139286477247;20;0.10683635420336982;20;6.4775536362804047;20;6.500137333292642
30;176.66554765465256;30;69.215979491561626;30;2.9663991210669272;30;0.10691542488701217;30;6.4775536362804047;30;6.500137333292642
40;176.70216986602375;40;69.191564683980829;40;2.9663991210669272;40;0.10695496022883336;40;6.4772484511856447;40;6.500137333292642
50;176.79982909634694;50;69.069490646076844;50;3.0640583513901181;50;0.10695496022883336;50;6.4763328959013649;50;6.500137333292642
60;176.84865871150853;60;69.093905453657641;60;3.0518509475997191;60;0.10703403091247571;60;6.4757225257118449;60;6.500137333292642
70;176.73879207739495;70;69.154942472609633;70;3.0518509475997191;70;0.10715263693793922;70;6.4775536362804047;70;6.500137333292642
80;176.77541428876614;80;69.154942472609633;80;3.0640583513901181;80;0.10715263693793922;80;6.4793847468489645;80;6.500137333292642
90;176.75099948118535;90;69.057283242286445;90;3.0274361400189216;90;0.10711310159611806;90;6.474806970427565;90;6.500137333292642
100;176.62892544328136;100;69.057283242286445;100;2.9663991210669272;100;0.10723170762158157;100;6.4769432660908848;100;6.500137333292642
110;176.66554765465256;110;69.106112857448039;110;2.9297769096957307;110;0.10727124296340276;110;6.4757225257118449;110;6.500137333292642
120;176.77541428876614;120;69.093905453657641;120;2.9908139286477247;120;0.10723170762158157;120;6.4766380809961248;120;6.500137333292642
130;176.68996246223335;130;68.996246223334452;130;2.9908139286477247;130;0.10723170762158157;130;6.4766380809961248;130;6.500137333292642
140;176.76320688497574;140;69.008453627124851;140;2.9663991210669272;140;0.10727124296340276;140;6.4766380809961248;140;6.500137333292642
150;176.79982909634694;150;69.045075838496047;150;2.9541917172765282;150;0.10735031364704511;150;6.4769432660908848;150;6.500137333292642
160;176.87307351908933;160;68.959624011963257;160;2.8931546983245338;160;0.10742938433068748;160;6.475417340617085;160;6.500137333292642
170;176.81203650013734;170;68.996246223334452;170;2.8565324869533373;170;0.10746891967250864;170;6.475417340617085;170;6.500137333292642
180;176.76320688497574;180;68.923001800592061;180;2.8931546983245338;180;0.107547990356151;180;6.4766380809961248;180;6.500137333292642
190;176.70216986602375;190;68.886379589220866;190;2.9541917172765282;190;0.10762706103979335;190;6.4796899319437244;190;6.500137333292642
200;176.59230323191017;200;68.959624011963257;200;2.9908139286477247;200;0.10758752569797218;200;6.474806970427565;200;6.500137333292642
210;176.67775505844295;210;68.971831415753655;210;2.9786065248573257;210;0.10758752569797218;210;6.4763328959013649;210;6.500137333292642
220;176.61671803949096;220;69.045075838496047;220;2.8931546983245338;220;0.10758752569797218;220;6.4769432660908848;220;6.500137333292642
230;176.66554765465256;230;69.069490646076844;230;2.9541917172765282;230;0.10770613172343575;230;6.4772484511856447;230;6.500137333292642
240;176.67775505844295;240;69.045075838496047;240;3.0396435438093206;240;0.10770613172343575;240;6.4766380809961248;240;6.500137333292642
250;176.73879207739495;250;69.008453627124851;250;2.9419843134861297;250;0.1077852024070781;250;6.474806970427565;250;6.500137333292642
260;176.67775505844295;260;68.959624011963257;260;2.9663991210669272;260;0.10782473774889927;260;6.475417340617085;260;6.500137333292642
270;176.68996246223335;270;69.008453627124851;270;3.0274361400189216;270;0.10782473774889927;270;6.4769432660908848;270;6.500137333292642
280;176.77541428876614;280;69.106112857448039;280;2.9663991210669272;280;0.10786427309072046;280;6.4793847468489645;280;6.500137333292642
290;176.58009582811977;290;69.02066103091525;290;2.8809472945341352;290;0.10790380843254162;290;6.475112155522325;290;6.500137333292642
300;176.66554765465256;300;68.996246223334452;300;2.8931546983245338;300;0.10806194979982632;300;6.4769432660908848;300;6.500137333292642
310;176.66554765465256;310;68.959624011963257;310;2.9419843134861297;310;0.10810148514164751;310;6.4769432660908848;310;6.500137333292642
320;176.66554765465256;320;68.984038819544054;320;2.9419843134861297;320;0.10814102048346867;320;6.4772484511856447;320;6.500137333292642
330;176.61671803949096;330;68.996246223334452;330;2.9297769096957307;330;0.10810148514164751;330;6.4769432660908848;330;6.500137333292642
340;176.70216986602375;340;68.886379589220866;340;2.9541917172765282;340;0.10818055582528986;340;6.475112155522325;340;6.500137333292642
350;176.73879207739495;350;68.800927762688076;350;2.9908139286477247;350;0.10822009116711104;350;6.4745017853328051;350;6.500137333292642
360;176.71437726981415;360;68.788720358897677;360;2.9786065248573257;360;0.10818055582528986;360;6.4784691915646846;360;6.500137333292642
370;176.81203650013734;370;68.923001800592061;370;2.9663991210669272;370;0.10822009116711104;370;6.4809106723227643;370;6.500137333292642
380;176.75099948118535;380;68.910794396801663;380;2.9541917172765282;380;0.10833869719257458;380;6.4741966002380451;380;6.500137333292642
390;176.68996246223335;390;68.788720358897677;390;2.9419843134861297;390;0.10837823253439574;390;6.475417340617085;390;6.500137333292642
400;176.70216986602375;400;68.715475936155286;400;2.9297769096957307;400;0.10837823253439574;400;6.4772484511856447;400;6.500137333292642
410;176.83645130771814;410;68.825342570268873;410;2.9175695059053313;410;0.10849683855985928;410;6.4787743766594446;410;6.500137333292642
420;176.84865871150853;420;68.837549974059272;420;2.9419843134861297;420;0.10849683855985928;420;6.4757225257118449;420;6.500137333292642
430;176.77541428876614;430;68.84975737784967;430;2.9908139286477247;430;0.10849683855985928;430;6.4757225257118449;430;6.500137333292642
440;176.70216986602375;440;68.910794396801663;440;3.0152287362285222;440;0.10861544458532282;440;6.4763328959013649;440;6.500137333292642
450;176.87307351908933;450;68.898586993011264;450;2.9175695059053313;450;0.10865497992714399;450;6.4757225257118449;450;6.500137333292642
460;176.86086611529893;460;68.84975737784967;460;2.8321176793725393;460;0.10869451526896518;460;6.4766380809961248;460;6.500137333292642
470;176.67775505844295;470;68.837549974059272;470;2.9175695059053313;470;0.10869451526896518;470;6.475112155522325;470;6.500137333292642
480;176.70216986602375;480;68.971831415753655;480;2.9297769096957307;480;0.10873405061078634;480;6.4772484511856447;480;6.500137333292642
490;176.70216986602375;490;68.971831415753655;490;2.9175695059053313;490;0.10877358595260753;490;6.474806970427565;490;6.500137333292642
500;176.83645130771814;500;68.971831415753655;500;2.9419843134861297;500;0.10881312129442869;500;6.4766380809961248;500;6.500137333292642
510;176.62892544328136;510;68.886379589220866;510;2.8565324869533373;510;0.10877358595260753;510;6.4766380809961248;510;6.500137333292642
520;176.65334025086216;520;68.813135166478475;520;2.8443250831629387;520;0.10889219197807105;520;6.4772484511856447;520;6.500137333292642
530;176.55568102053897;530;68.910794396801663;530;2.8931546983245338;530;0.10893172731989226;530;6.4769432660908848;530;6.500137333292642
540;176.67775505844295;540;69.057283242286445;540;2.9175695059053313;540;0.10901079800353461;540;6.475112155522325;540;6.500137333292642
550;176.75099948118535;550;68.910794396801663;550;2.8931546983245338;550;0.10905033334535577;550;6.475417340617085;550;6.500137333292642
560;176.70216986602375;560;68.84975737784967;560;2.8443250831629387;560;0.10901079800353461;560;6.4769432660908848;560;6.500137333292642
570;176.81203650013734;570;68.93520920438246;570;2.8931546983245338;570;0.10908986868717696;570;6.4784691915646846;570;6.500137333292642
580;176.79982909634694;580;68.923001800592061;580;2.9786065248573257;580;0.10912940402899814;580;6.4738914151432851;580;6.500137333292642
590;176.83645130771814;590;68.910794396801663;590;2.9663991210669272;590;0.10920847471264049;590;6.4757225257118449;590;6.500137333292642
600;176.79982909634694;600;68.788720358897677;600;2.9175695059053313;600;0.10920847471264049;600;6.4757225257118449;600;6.500137333292642
610;176.78762169255654;610;68.800927762688076;610;2.8443250831629387;610;0.10932708073810403;610;6.4775536362804047;610;6.500137333292642
620;176.61671803949096;620;68.825342570268873;620;2.8321176793725393;620;0.10940615142174638;620;6.4772484511856447;620;6.500137333292642
630;176.77541428876614;630;68.813135166478475;630;2.9541917172765282;630;0.10936661607992522;630;6.4757225257118449;630;6.500137333292642
640;176.76320688497574;640;68.813135166478475;640;2.9786065248573257;640;0.10940615142174638;640;6.4766380809961248;640;6.500137333292642
650;176.76320688497574;650;68.874172185430467;650;2.9297769096957307;650;0.10952475744720992;650;6.4766380809961248;650;6.500137333292642
