Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\MainNed180bar\-50prosent.csv;
Starttime of export;134212441379590000;tirsdag 21. april 2026;13:22:17.959
Endtime of export;134212441435736666;tirsdag 21. april 2026;13:22:23.573


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V

0;178.82625812555315;0;24.414807580797753;0;91.787469100009162;0;0.49236369420176157;0;2.6075014496292006;0;2.50007629627369
10;178.82625812555315;10;24.46363719595935;10;91.994994964445951;10;0.49208689337921574;10;2.60475478377636;10;2.50007629627369
20;178.71639149143957;20;24.475844599749749;20;92.214728232673124;20;0.49184963553131933;20;2.5943784905545213;20;2.50007629627369
30;178.93612475966674;30;24.414807580797753;30;92.202520828882726;30;0.49157283470877339;30;2.5992614520706807;30;2.50007629627369
40;178.80184331797236;40;24.46363719595935;40;92.178106021301929;40;0.49125649091157814;40;2.6136051515244;40;2.50007629627369
50;178.72859889522996;50;24.488052003540147;50;92.239143040253921;50;0.49105877603833104;50;2.6087221900082405;50;2.50007629627369
60;178.55769524216439;60;24.512466811120944;60;92.226935636463523;60;0.4907819752157852;60;2.5916318247016816;60;2.50007629627369
70;178.59431745353558;70;24.622333445234538;70;92.007202368236349;70;0.49054471736788879;70;2.60475478377636;70;2.50007629627369
80;178.37458418530835;80;24.597918637653741;80;91.88512833033235;80;0.4902679165453428;80;2.60475478377636;80;2.50007629627369
90;178.33796197393715;90;24.622333445234538;90;91.824091311380357;90;0.48991202977349807;90;2.597125156407361;90;2.50007629627369
100;178.19147312845237;100;24.54908902249214;100;91.604358043153184;100;0.4896747719256016;100;2.5919370097964416;100;2.50007629627369
110;178.10602130191958;110;24.488052003540147;110;91.323587755974;110;0.48947705705235461;110;2.61116367076632;110;2.50007629627369
120;178.02056947538679;120;24.683370464186531;120;91.201513718070018;120;0.48916071325515936;120;2.6093325601977604;120;2.50007629627369
130;177.82525101474042;130;24.756614886928922;130;90.896328623310055;130;0.48880482648331464;130;2.596819971312601;130;2.50007629627369
140;177.77642139957882;140;24.585711233863343;140;90.61555833613086;140;0.48856756863541817;140;2.6020081179235204;140;2.50007629627369
