Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\MainOpp180bar\-35prosent.csv;
Starttime of export;134212410427690000;tirsdag 21. april 2026;12:30:42.769
Endtime of export;134212410481021192;tirsdag 21. april 2026;12:30:48.102


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V

0;180.15686513870662;0;65.675832392345953;0;2.2461622974333935;0;0.17139336897249549;0;6.645405438398388;0;6.750083925901059
10;180.12024292733543;10;65.749076815088344;10;2.2583697012237924;10;0.17139336897249549;10;6.645405438398388;10;6.750083925901059
20;180.3155613879818;20;65.895565660573141;20;2.270577105014191;20;0.17143291194714491;20;6.6441846980193482;20;6.750083925901059
30;180.10803552354503;30;65.993224890896329;30;2.2461622974333935;30;0.1714724549217943;30;6.6463209936826679;30;6.750083925901059
40;180.15686513870662;40;66.139713736381111;40;2.270577105014191;40;0.17155154087109312;40;6.6435743278298283;40;6.750083925901059
50;180.05920590838343;50;66.273995178075509;50;2.2949919125949889;50;0.17163062682039196;50;6.6463209936826679;50;6.750083925901059
60;180.40101321451459;60;66.3106173894467;60;2.3438215277565844;60;0.17174925574434016;60;6.6438795129245882;60;6.750083925901059
70;180.3155613879818;70;66.579180272835472;70;2.39265114291818;70;0.17174925574434016;70;6.6478469191564677;70;6.750083925901059
80;180.18127994628742;80;66.640217291787479;80;2.3071993163853879;80;0.17178879871898958;80;6.6438795129245882;80;6.750083925901059
90;180.15686513870662;90;66.579180272835472;90;2.270577105014191;90;0.17194697061758721;90;6.645405438398388;90;6.750083925901059
100;180.26673177282021;100;66.603595080416284;100;2.3071993163853879;100;0.17198651359223663;100;6.645405438398388;100;6.750083925901059
110;180.27893917661061;110;66.579180272835472;110;2.3316141239661854;110;0.17202605656688605;110;6.645405438398388;110;6.750083925901059
120;180.05920590838343;120;66.566972869045074;120;2.3560289315469833;120;0.17210514251618486;120;6.6463209936826679;120;6.750083925901059
130;180.3033539841914;130;66.603595080416284;130;2.4048585467085788;130;0.17218422846548367;130;6.6444898831141082;130;6.750083925901059
140;180.03479110080264;140;66.469313638721886;140;2.4658955656605732;140;0.17226331441478249;140;6.6478469191564677;140;6.750083925901059
150;180.26673177282021;150;66.273995178075509;150;2.4292733542893763;150;0.1723424003640813;150;6.6444898831141082;150;6.750083925901059
160;180.18127994628742;160;66.115298928800314;160;2.4170659504989778;160;0.17238194333873075;160;6.6475417340617078;160;6.750083925901059
170;180.21790215765861;170;65.944395275734735;170;2.4658955656605732;170;0.17242148631338014;170;6.6438795129245882;170;6.750083925901059
180;180.230109561449;180;65.956602679525133;180;2.4903103732413707;180;0.17250057226267895;180;6.6478469191564677;180;6.750083925901059
190;180.15686513870662;190;65.956602679525133;190;2.5147251808221687;190;0.17257965821197779;190;6.646015808587908;190;6.750083925901059
200;180.26673177282021;200;65.883358256782742;200;2.5025177770317697;200;0.172698287135926;200;6.645405438398388;200;6.750083925901059
210;180.15686513870662;210;65.675832392345953;210;2.4414807580797753;210;0.17273783011057547;210;6.645405438398388;210;6.750083925901059
220;180.230109561449;220;65.602587969603562;220;2.4170659504989778;220;0.17281691605987429;220;6.6444898831141082;220;6.750083925901059
230;180.09582811975463;230;65.443891720328381;230;2.4170659504989778;230;0.1728960020091731;230;6.6463209936826679;230;6.750083925901059
240;180.26673177282021;240;65.395062105166772;240;2.4048585467085788;240;0.17297508795847194;240;6.6435743278298283;240;6.750083925901059
250;180.05920590838343;250;65.431684316537982;250;2.3560289315469833;250;0.17305417390777075;250;6.6475417340617078;250;6.750083925901059
260;180.24231696523941;260;65.33402508621478;260;2.3682363353373823;260;0.17313325985706957;260;6.6438795129245882;260;6.750083925901059
270;180.20569475386822;270;65.18753624073;270;2.3682363353373823;270;0.1732518887810178;270;6.6469313638721879;270;6.750083925901059
280;180.291146580401;280;65.1753288369396;280;2.3560289315469833;280;0.17337051770496603;280;6.6438795129245882;280;6.750083925901059
290;180.230109561449;290;65.24857325968199;290;2.2949919125949889;290;0.17352868960356366;290;6.645405438398388;290;6.750083925901059
300;180.15686513870662;300;65.2241584521012;300;2.3194067201757864;300;0.17352868960356366;300;6.6441846980193482;300;6.750083925901059
310;180.21790215765861;310;65.321817682424381;310;2.4170659504989778;310;0.17360777555286247;310;6.6438795129245882;310;6.750083925901059
320;180.13245033112582;320;65.321817682424381;320;2.3560289315469833;320;0.17368686150216128;320;6.645710623493148;320;6.750083925901059
330;180.26673177282021;330;65.419476912747569;330;2.2461622974333935;330;0.1737659474514601;330;6.6438795129245882;330;6.750083925901059
340;179.99816888943144;340;65.504928739280373;340;2.2217474898525955;340;0.1737659474514601;340;6.6475417340617078;340;6.750083925901059
350;180.15686513870662;350;65.749076815088344;350;2.2583697012237924;350;0.17384503340075894;350;6.6441846980193482;350;6.750083925901059
360;179.97375408185064;360;65.895565660573141;360;2.2461622974333935;360;0.17388457637540836;360;6.6469313638721879;360;6.750083925901059
370;180.20569475386822;370;65.932187871944336;370;2.2095400860621965;370;0.17396366232470717;370;6.6435743278298283;370;6.750083925901059
380;180.12024292733543;380;66.029847102267524;380;2.2583697012237924;380;0.1740822912486554;380;6.6463209936826679;380;6.750083925901059
390;180.04699850459303;390;66.005432294686727;390;2.2949919125949889;390;0.17416137719795421;390;6.6441846980193482;390;6.750083925901059
400;180.21790215765861;400;66.127506332590713;400;2.2583697012237924;400;0.17424046314725303;400;6.6451002533036281;400;6.750083925901059
410;180.27893917661061;410;66.1763359477523;410;2.2949919125949889;410;0.17428000612190245;410;6.645710623493148;410;6.750083925901059
420;180.37659840693379;420;66.237372966704314;420;2.3316141239661854;420;0.17431954909655184;420;6.6451002533036281;420;6.750083925901059
430;180.12024292733543;430;66.2007507553331;430;2.3316141239661854;430;0.17435909207120126;430;6.6469313638721879;430;6.750083925901059
440;180.291146580401;440;66.273995178075509;440;2.3438215277565844;440;0.17447772099514949;440;6.6444898831141082;440;6.750083925901059
450;180.14465773491622;450;66.3838618121891;450;2.3071993163853879;450;0.17451726396979889;450;6.6487624744407476;450;6.750083925901059
460;180.42542802209539;460;66.3228247932371;460;2.3194067201757864;460;0.17459634991909773;460;6.6444898831141082;460;6.750083925901059
470;180.3155613879818;470;66.237372966704314;470;2.3438215277565844;470;0.17467543586839654;470;6.6469313638721879;470;6.750083925901059
480;180.27893917661061;480;66.1885433515427;480;2.3438215277565844;480;0.17471497884304593;480;6.6444898831141082;480;6.750083925901059
