u_percent,Q_m3ps,pa_bar,pb_bar,dp_bar,At_m2
"5","0","65,223","65,235","84,213",0
"10","0","64,24","64,278","84,975",0
"15","0","64,26","64,292","84,866",0
"20","0","38,116","50,82","110,91",0
"20","0","38,116","50,82","110,91",0
"21","0","60,123","0,68032","93,273",0
"22","0","58,821","0,28417","94,542",0
"23","0","57,336","0,27371","95,997",0
"23,2","0","58,971","0,27317","94,345",0
"23,4","0","63,904","0,27296","89,354",0
"23,6","6,6714E-07","65,383","0,29122","87,807",7.25215206587313e-09
"23,8","1,4852E-06","65,266","0,31917","87,879",1.61382663329854e-08
"24","2,6514E-06","65,792","0,34785","87,345",2.88981950743027e-08
"25","6,0453E-06","65,261","0,57042","83,621",6.73402416245965e-08
"25","6,0453E-06","65,261","0,57042","83,621",6.73402416245965e-08
"30","0,000053281","69,029","2,0976","78,977",6.10712124203754e-07
"35","0,00011207","71,008","3,6304","75,995",1.30951764089042e-06
"40","0,00017279","73,283","4,4569","72,822",2.06253722026798e-06
"45","0,00023301","75,621","5,6685","69,236",2.85248300961645e-06
"50","0,00029127","77,811","6,7312","66,338",3.64274742484457e-06
"55","0,00034559","79,657","7,6988","63,704",4.41054550220476e-06
"60","0,00039277","81,464","8,6384","61,088",5.11887879465692e-06
"65","0,00043429","83,248","9,4522","58,725",5.77275076748682e-06
"70","0,00048069","85,16","10,535","56,01",6.54254611013476e-06
"75","0,00052706","86,69","12,096","53,15",7.36415488785903e-06
"80","0,00055904","87,902","12,729","51,276",7.95243823862058e-06
"85","0,00058465","88,894","13,228","49,842",8.43553661087029e-06
"90","0,00060697","89,814","13,568","48,716",8.85820866537184e-06
"95","0,00062316","90,24","13,586","48,152",9.14759428574228e-06
"100","0,00062537","90,244","13,45","48,124",9.18270590960252e-06
