Apningssignal,Qa,Qb_original,Pb_bar,Qb_m3s,deltap_Pa,Ad_m2
NaN,NaN,0.0314,NaN,0.0314,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0,0,0.17477,0,17477,NaN
NaN,0,0,0.19215,0,19215,NaN
NaN,0,0,0.19322,0,19322,NaN
NaN,0,0,0.19012,0,19012,NaN
NaN,0,0,0.20478,0,20478,NaN
NaN,0,0,0.19761,0,19761,NaN
NaN,0,0,0.20356,0,20356,NaN
NaN,0,0,0.20185,0,20185,NaN
NaN,5.5435e-07,3.3797e-07,0.20266,3.3797e-07,20266,4.89427758865625e-08
NaN,1.2448e-06,7.5892e-07,0.20595,7.5892e-07,20595,1.09020850292477e-07
NaN,2.1515e-06,1.3117e-06,0.20944,1.3117e-06,20944,1.86852610177634e-07
NaN,3.5472e-06,2.1626e-06,0.21873,2.1626e-06,21873,3.01450832244598e-07
NaN,1.0826e-05,6.6003e-06,0.25598,6.6003e-06,25598,8.50462411235698e-07
NaN,5.893e-05,3.5928e-05,1.2344,3.5928e-05,123440,2.10814049455507e-06
NaN,0.00012019,7.3277e-05,2.6211,7.3277e-05,262110,2.95066802581668e-06
NaN,0.00018755,0.00011434,4.3262,0.00011434,432620,3.58376361943646e-06
NaN,0.00025789,0.00015723,6.4088,0.00015723,640880,4.0489416682987e-06
NaN,0.00031809,0.00019393,6.4698,0.00019393,646980,4.97043083323107e-06
NaN,0.00037858,0.00023081,8.1866,0.00023081,818660,5.2589289145456e-06
NaN,0.00043318,0.0002641,9.8072,0.0002641,980720,5.49781789077069e-06
NaN,0.00048536,0.00029591,11.225,0.00029591,1122500,5.75785776193555e-06
NaN,0.00053319,0.00032507,13.061,0.00032507,1306100,5.86385390523399e-06
NaN,0.00059816,0.00036468,15.27,0.00036468,1527000,6.08396760084839e-06
NaN,0.0006542,0.00039885,16.954,0.00039885,1695400,6.31492172883028e-06
NaN,0.00069494,0.00042369,18.355,0.00042369,1835500,6.44711600142008e-06
NaN,0.00073064,0.00044545,19.373,0.00044545,1937300,6.59773683930033e-06
NaN,0.0007546,0.00046006,20.154,0.00046006,2015400,6.68079757454254e-06
NaN,0.00077044,0.00046972,20.555,0.00046972,2055500,6.75421337800571e-06
