u_percent;pa_bar;pb_bar;dp_bar;Q_m3ps
-100;24,111;134,37;14,477;0,00030824
-95;24,239;134,37;14,506;0,00030635
-90;24,066;134,1;14,777;0,00030465
-85;24,2;133,94;15,072;0,00030363
-80;23,956;133,35;15,756;0,00030201
-75;23,36;132,61;16,576;0,00029707
-70;23,015;131,37;17,944;0,00029231
-65;22,428;129,2;20,241;0,00028352
-60;21,368;126,62;22,955;0,00027268
-55;20,215;124,4;25,29;0,00025977
-50;18,751;121,55;28,221;0,00024379
-45;16,729;117,93;32,083;0,00022293
-40;14,033;113,49;36,846;0,00019321
-35;10,822;108,07;42,553;0,00015624
-30;7,3948;101,77;49,408;0,00011304
-25;5,3807;97,12;54,554;0,000062647
-20;1,0838;90,662;61,674;0,000017342
-18;0,34153;88,863;64,326;3,9785E-06
-17,6;0,28419;88,018;65,002;1,6438E-06
-17,4;0,27111;88,09;64,945;8,0858E-07
-17,2;0,26632;86,483;66,565;2,0253E-07
-17;0,26665;73,305;79,865;0
-16;0,27004;65,059;88,171;0
-15;0,25618;53,713;98,83;0
-10;45,933;1,9473;150,71;0
-5;61,548;61,667;91,18;0
