u_percent;pa_bar;pb_bar;dp_bar;Q_m3ps;At_m2
-100;24,111;134,37;14,477;0,00030824;8.25209463553867e-06
-95;24,239;134,37;14,506;0,00030635;8.19329400409048e-06
-90;24,066;134,1;14,777;0,00030465;8.07276921178066e-06
-85;24,2;133,94;15,072;0,00030363;7.96661313314152e-06
-80;23,956;133,35;15,756;0,00030201;7.75019854278225e-06
-75;23,36;132,61;16,576;0,00029707;7.43247433521058e-06
-70;23,015;131,37;17,944;0,00029231;7.02908076902601e-06
-65;22,428;129,2;20,241;0,00028352;6.4192192417099e-06
-60;21,368;126,62;22,955;0,00027268;5.79734475721464e-06
-55;20,215;124,4;25,29;0,00025977;5.26173620031709e-06
-50;18,751;121,55;28,221;0,00024379;4.67459703243644e-06
-45;16,729;117,93;32,083;0,00022293;4.0090873745611e-06
-40;14,033;113,49;36,846;0,00019321;3.24226805729942e-06
-35;10,822;108,07;42,553;0,00015624;2.43972923104207e-06
-30;7,3948;101,77;49,408;0,00011304;1.63812863776381e-06
-25;5,3807;97,12;54,554;0,000062647;8.6397558499801e-07
-20;1,0838;90,662;61,674;0,000017342;2.24937888821439e-07
-18;0,34153;88,863;64,326;3,9785E-06;5.05289856744073e-08
NaN;0,28419;88,018;65,002;1,6438E-06;2.07682597775652e-08
NaN;0,27111;88,09;64,945;8,0858E-07;1.02203230970473e-08
NaN;0,26632;86,483;66,565;2,0253E-07;2.5286043782489e-09
-17;0,26665;73,305;79,865;0;0
-16;0,27004;65,059;88,171;0;0
-15;0,25618;53,713;98,83;0;0
-10;45,933;1,9473;150,71;0;0
-5;61,548;61,667;91,18;0;0
