u_percent;dp_bar;Q_m3ps
-100;28,569;0,00048449
-95;29,324;0,00048126
-90;30,537;0,0004748
-85;32,213;0,00046511
-80;34,689;0,0004538
-75;38,81;0,00043443
-70;43,959;0,0004102
-65;47,549;0,00039082
-60;52,369;0,0003666
-55;57,895;0,00033343
-50;64,253;0,00029715
-45;71,731;0,00025193
-40;79,836;0,00019864
-35;87,798;0,00014212
-30;95,549;0,000082363
-25;101,75;0,000029069
-22;117,51;3,2299E-06
-21,8;113,37;3,2299E-06
-21,6;116,52;0,000001615
-21,4;125,63;0
-21,2;137,35;0
-21;146,57;0
-20;148,59;0
-20;151,24;0
-15;148,61;0
-10;148,7;0
-5;148,77;0
