u_percent;Q_m3ps;pa_bar;pb_bar;dp_bar
5;0;65,223;65,235;84,213
10;0;64,24;64,278;84,975
15;0;64,26;64,292;84,866
20;0;38,116;50,82;110,91
20;0;38,116;50,82;110,91
21;0;60,123;0,68032;93,273
22;0;58,821;0,28417;94,542
23;0;57,336;0,27371;95,997
23,2;0;58,971;0,27317;94,345
23,4;0;63,904;0,27296;89,354
23,6;6,6714E-07;65,383;0,29122;87,807
23,8;1,4852E-06;65,266;0,31917;87,879
24;2,6514E-06;65,792;0,34785;87,345
25;6,0453E-06;65,261;0,57042;83,621
25;6,0453E-06;65,261;0,57042;83,621
30;0,000053281;69,029;2,0976;78,977
35;0,00011207;71,008;3,6304;75,995
40;0,00017279;73,283;4,4569;72,822
45;0,00023301;75,621;5,6685;69,236
50;0,00029127;77,811;6,7312;66,338
55;0,00034559;79,657;7,6988;63,704
60;0,00039277;81,464;8,6384;61,088
65;0,00043429;83,248;9,4522;58,725
70;0,00048069;85,16;10,535;56,01
75;0,00052706;86,69;12,096;53,15
80;0,00055904;87,902;12,729;51,276
85;0,00058465;88,894;13,228;49,842
90;0,00060697;89,814;13,568;48,716
95;0,00062316;90,24;13,586;48,152
100;0,00062537;90,244;13,45;48,124
