u_percent,dp_bar,Q_m3ps,At_m2
"-100","28,569","0,00048449",9.23319035094849e-06
"-95","29,324","0,00048126",9.05279430041885e-06
"-90","30,537","0,0004748",8.75209487300154e-06
"-85","32,213","0,00046511",8.34746452011109e-06
"-80","34,689","0,0004538",7.84843548018494e-06
"-75","38,81","0,00043443",7.10333796102375e-06
"-70","43,959","0,0004102",6.30211385451524e-06
"-65","47,549","0,00039082",5.77325283592169e-06
"-60","52,369","0,0003666",5.16023893372764e-06
"-55","57,895","0,00033343",4.46373736947581e-06
"-50","64,253","0,00029715",3.77610029373761e-06
"-45","71,731","0,00025193",3.02998818491912e-06
"-40","79,836","0,00019864",2.26454947197909e-06
"-35","87,798","0,00014212",1.54499606757747e-06
"-30","95,549","0,000082363",8.5828905619163e-07
"-25","101,75","0,000029069",2.9354681593044e-07
"-22","117,51","3,2299E-06",3.03505212630615e-08
"-21,8","113,37","3,2299E-06",3.08997164527713e-08
"-21,6","116,52","0,000001615",1.5240063611255e-08
"-21,4","125,63","0",0
"-21,2","137,35","0",0
"-21","146,57","0",0
"-20","148,59","0",0
"-20","151,24","0",0
"-15","148,61","0",0
"-10","148,7","0",0
"-5","148,77","0",0
