u_percent,pa_bar,pb_bar,dp_bar,Q_m3ps,Qa_m3ps,A_m2
-100,24.111,134.37,14.477,0.00030824,0.000505829743589744,1.35418988890891e-05
-95,24.239,134.37,14.506,0.00030635,0.000502728205128205,1.34454055451741e-05
-90,24.066,134.1,14.777,0.00030465,0.000499938461538462,1.32476212706144e-05
-85,24.2,133.94,15.072,0.00030363,0.000498264615384615,1.30734164236169e-05
-80,23.956,133.35,15.756,0.00030201,0.000495606153846154,1.27182745317452e-05
-75,23.36,132.61,16.576,0.00029707,0.000487499487179487,1.21968809603456e-05
-70,23.015,131.37,17.944,0.00029231,0.000479688205128205,1.15349017748119e-05
-65,22.428,129.2,20.241,0.00028352,0.00046526358974359,1.05341033710111e-05
-60,21.368,126.62,22.955,0.00027268,0.000447474871794872,9.51359139645479e-06
-55,20.215,124.4,25.29,0.00025977,0.000426289230769231,8.63464402103318e-06
-50,18.751,121.55,28.221,0.00024379,0.000400065641025641,7.67113359169057e-06
-45,16.729,117.93,32.083,0.00022293,0.000365833846153846,6.57901517876693e-06
-40,14.033,113.49,36.846,0.00019321,0.000317062564102564,5.32064501710675e-06
-35,10.822,108.07,42.553,0.00015624,0.000256393846153846,4.0036582252998e-06
-30,7.3948,101.77,49.408,0.00011304,0.000185501538461538,2.68821109786882e-06
-25,5.3807,97.12,54.554,6.2647e-05,0.000102805333333333,1.41780608820186e-06
-20,1.0838,90.662,61.674,1.7342e-05,2.84586666666667e-05,3.69128843194156e-07
-18,0.34153,88.863,64.326,3.9785e-06,6.52882051282051e-06,8.29193611067197e-08
-17.6,0.28419,88.018,65.002,1.6438e-06,2.69751794871795e-06,3.4081246814466e-08
-17.4,0.27111,88.09,64.945,8.0858e-07,1.32690051282051e-06,1.67718122618212e-08
-17.2,0.26632,86.483,66.565,2.0253e-07,3.32356923076923e-07,4.14950462071615e-09
-17,0.26665,73.305,79.865,0,0,0
-16,0.27004,65.059,88.171,0,0,0
-15,0.25618,53.713,98.83,0,0,0
-10,45.933,1.9473,150.71,0,0,0
-5,61.548,61.667,91.18,0,0,0
