u_percent,Q_m3ps,pa_bar,pb_bar,dp_bar,Qb_m3ps,A_m2
5,0,65.223,65.235,84.213,0,0
10,0,64.24,64.278,84.975,0,0
15,0,64.26,64.292,84.866,0,0
20,0,38.116,50.82,110.91,0,0
20,0,38.116,50.82,110.91,0,0
21,0,60.123,0.68032,93.273,0,0
22,0,58.821,0.28417,94.542,0,0
23,0,57.336,0.27371,95.997,0,0
23.2,0,58.971,0.27317,94.345,0,0
23.4,0,63.904,0.27296,89.354,0,0
23.6,6.6714e-07,65.383,0.29122,87.807,3.70633333333333e-07,4.02897336992952e-09
23.8,1.4852e-06,65.266,0.31917,87.879,8.25111111111111e-07,8.96570351832523e-09
24,2.6514e-06,65.792,0.34785,87.345,1.473e-06,1.60545528190571e-08
25,6.0453e-06,65.261,0.57042,83.621,3.3585e-06,3.74112453469981e-08
25,6.0453e-06,65.261,0.57042,83.621,3.3585e-06,3.74112453469981e-08
30,5.3281e-05,69.029,2.0976,78.977,2.96005555555556e-05,3.3928451344653e-07
35,0.00011207,71.008,3.6304,75.995,6.22611111111111e-05,7.27509800494678e-07
40,0.00017279,73.283,4.4569,72.822,9.59944444444445e-05,1.14585401125999e-06
45,0.00023301,75.621,5.6685,69.236,0.00012945,1.58471278312025e-06
50,0.00029127,77.811,6.7312,66.338,0.000161816666666667,2.0237485693581e-06
55,0.00034559,79.657,7.6988,63.704,0.000191994444444444,2.45030305678042e-06
60,0.00039277,81.464,8.6384,61.088,0.000218205555555556,2.84382155258718e-06
65,0.00043429,83.248,9.4522,58.725,0.000241272222222222,3.2070837597149e-06
70,0.00048069,85.16,10.535,56.01,0.00026705,3.63474783896375e-06
75,0.00052706,86.69,12.096,53.15,0.000292811111111111,4.09119715992168e-06
80,0.00055904,87.902,12.729,51.276,0.000310577777777778,4.4180212436781e-06
85,0.00058465,88.894,13.228,49.842,0.000324805555555556,4.68640922826128e-06
90,0.00060697,89.814,13.568,48.716,0.000337205555555556,4.92122703631769e-06
95,0.00062316,90.24,13.586,48.152,0.0003462,5.08199682541238e-06
100,0.00062537,90.244,13.45,48.124,0.000347427777777778,5.10150328311251e-06
