u_percent,dp_bar,Q_m3ps,Qa_m3ps,A_m2
-100,28.569,0.00048449,0.000795060512820513,1.5151902114377e-05
-95,29.324,0.00048126,0.00078976,1.48558675699181e-05
-90,30.537,0.0004748,0.000779158974358974,1.43624120992846e-05
-85,32.213,0.00046511,0.000763257435897436,1.36984033150541e-05
-80,34.689,0.0004538,0.000744697435897436,1.28794838649189e-05
-75,38.81,0.00043443,0.000712910769230769,1.16567597309108e-05
-70,43.959,0.0004102,0.000673148717948718,1.03419304279224e-05
-65,47.549,0.00039082,0.000641345641025641,9.4740559358715e-06
-60,52.369,0.0003666,0.0006016,8.46808440406588e-06
-55,57.895,0.00033343,0.00054716717948718,7.32510747811416e-06
-50,64.253,0.00029715,0.000487630769230769,6.19667740510787e-06
-45,71.731,0.00025193,0.00041342358974359,4.97228830345702e-06
-40,79.836,0.00019864,0.000325973333333333,3.71618374888876e-06
-35,87.798,0.00014212,0.000233222564102564,2.53537816217841e-06
-30,95.549,8.2363e-05,0.000135159794871795,1.40847434862216e-06
-25,101.75,2.9069e-05,4.77029743589744e-05,4.81717851783286e-07
-22,117.51,3.2299e-06,5.30034871794872e-06,4.98059836111779e-08
-21.8,113.37,3.2299e-06,5.30034871794872e-06,5.07072269994195e-08
-21.6,116.52,1.615e-06,2.65025641025641e-06,2.50093351569313e-08
-21.4,125.63,0,0,0
-21.2,137.35,0,0,0
-21,146.57,0,0,0
-20,148.59,0,0,0
-20,151.24,0,0,0
-15,148.61,0,0,0
-10,148.7,0,0,0
-5,148.77,0,0,0
