Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool

0;8.301035;0;97.75689;0;65.26078;0;94.1312943;0;353.695038;0;152.531509;0;-0.24005957203496764;0;-0.23490096743675037
10;8.288827;10;97.75689;10;65.18754;10;94.03363;10;353.615967;10;152.65358;10;-0.23943872265301586;10;-0.23422956022827846
20;8.166753;20;97.7813;20;65.1265;20;94.00922;20;353.457825;20;152.5071;20;-0.23744777110247417;20;-0.2347178563798944
30;8.105716;30;97.83013;30;65.0898743;30;93.94818;30;353.457825;30;152.592545;30;-0.2383491260505799;30;-0.23355815301980654
40;8.130131;40;97.75689;40;65.07767;40;93.887146;40;353.418274;40;152.592545;40;-0.23847052423071663;40;-0.23398541215247048
50;8.081302;50;97.6226044;50;65.07767;50;93.8627243;50;353.3392;50;152.592545;50;-0.23780021331599588;50;-0.2330088198492386
60;8.117924;60;97.4517059;60;65.02884;60;93.6918259;60;353.299683;60;152.5193;60;-0.23788801471238447;60;-0.23276467177343063
70;8.130131;70;97.32963;70;65.0898743;70;93.53313;70;353.181061;70;152.65358;70;-0.23638614694067345;70;-0.23160496841334269
80;8.130131;80;97.341835;80;65.07767;80;93.67962;80;353.102;80;152.629166;80;-0.23576554200518779;80;-0.2315439313943907
90;8.117924;90;97.3052139;90;64.98001;90;93.56975;90;353.102;90;152.763458;90;-0.23653658083239409;90;-0.23160496841334269
100;7.97143459;100;97.2808;100;64.98001;100;93.56975;100;353.062469;100;152.775665;100;-0.23660967760292057;100;-0.23087252418591878
110;7.861568;110;97.1221;110;64.8823547;110;93.4965057;110;352.864777;110;152.775665;110;-0.23360874923575192;110;-0.23032319101535084
120;7.800531;120;97.0610657;120;64.8091049;120;93.24015;120;352.864777;120;152.885529;120;-0.23434697596237236;120;-0.22922452467421497
130;7.77611637;130;96.9512;130;64.78469;130;93.21574;130;352.7857;130;152.800079;130;-0.23364104113023237;130;-0.22965178380687892
140;7.7883234;140;96.9389954;140;64.69924;140;93.21574;140;352.7857;140;152.861115;140;-0.23440304117087202;140;-0.22885830256050302
150;7.84936047;150;96.9512;150;64.6137848;150;93.1424942;150;352.706635;150;152.787872;150;-0.23372603821722104;150;-0.22879726554155103
160;7.800531;160;96.8657455;160;64.626;160;93.03262;160;352.6671;160;153.04422;160;-0.23358805754991707;160;-0.227454451124607
170;7.69066429;170;96.84133;170;64.56496;170;92.9837952;170;352.5485;170;153.068634;170;-0.232073939308086;170;-0.22769859920041496
180;7.702872;180;96.76809;180;64.38185;180;92.91055;180;352.4299;180;153.068634;180;-0.23053694183262802;180;-0.22696615497299105
190;7.7883234;190;96.76809;190;64.38185;190;92.8739243;190;352.311279;190;153.0198;190;-0.22904513547939837;190;-0.22623371074556714
200;7.739494;200;96.48732;200;64.43068;200;92.7518539;200;352.2322;200;153.04422;200;-0.22812879765182725;200;-0.2265388958403271
210;7.58079767;210;96.37746;210;64.4917145;210;92.60536;210;352.311279;210;153.1785;210;-0.23023463367868002;210;-0.22556230353709522
220;7.593005;220;96.40187;220;64.4673;220;92.56874;220;352.2322;220;153.1785;220;-0.22944762525153906;220;-0.22476882229071932
230;7.60521269;230;96.36524;230;64.32081;230;92.58095;230;352.113617;230;153.263962;230;-0.2278306299608423;230;-0.22373119296853536
240;7.51976061;240;96.2675858;240;64.27198;240;92.43446;240;352.074066;240;153.202911;240;-0.22774330609624005;240;-0.22397534104434333
250;7.44651651;250;96.15772;250;64.22315;250;92.2757645;250;351.995;250;153.349411;250;-0.22679332874550262;250;-0.22330393383587141
260;7.36106443;260;96.09668;260;64.2109451;260;92.25135;260;351.915924;260;153.1907;260;-0.22599203334843571;260;-0.22330393383587141
270;7.275613;270;95.9501953;270;64.1377;270;92.17811;270;351.836853;270;153.117462;270;-0.22510143847409092;270;-0.22153386028626362
280;7.17795324;280;95.85253;280;64.1010742;280;91.98279;280;351.836853;280;153.093048;280;-0.22570130500627467;280;-0.22122867519150366
290;7.12912369;290;95.74267;290;64.04004;290;91.799675;290;351.6787;290;153.068634;290;-0.22327908948502329;290;-0.22128971221045565
300;7.12912369;300;95.70605;300;63.9179649;300;91.87292;300;351.6392;300;153.0198;300;-0.22314212305670617;300;-0.22013000885036771
310;7.06808662;310;95.5961761;310;63.8325157;310;91.78747;310;351.56012;310;153.0076;310;-0.2221927542825165;310;-0.22000793481246372
320;6.823939;320;95.49852;320;63.8447227;320;91.61656;320;351.5206;320;153.056427;320;-0.22196090714113936;320;-0.21884823145237586
330;6.799524;330;95.38866;330;63.8325157;330;91.61656;330;351.481049;330;152.970978;330;-0.22177120443099546;330;-0.21835993530075992
340;6.84835339;340;95.29099;340;63.71044;340;91.5067;340;351.481049;340;153.105255;340;-0.22222896924759322;340;-0.21732230597857605
350;6.823939;350;95.20554;350;63.6005745;350;91.3235855;350;351.362457;350;152.92215;350;-0.22056619716379161;350;-0.21732230597857605
360;6.823939;360;95.1323;360;63.52733;360;91.29917;360;351.243835;360;152.92215;360;-0.21881592889968252;360;-0.2162236396374401
370;6.72627926;370;95.03464;370;63.62499;370;91.26255;370;351.125244;370;152.8367;370;-0.21708005895905455;370;-0.21640675069429607
380;6.6774497;380;94.8515244;380;63.62499;380;91.15269;380;351.0857;380;152.787872;380;-0.21678091615192108;380;-0.21506393627735224
390;6.530961;390;94.83932;390;63.4785;390;91.05502;390;351.046173;390;152.726822;390;-0.21654903678572018;390;-0.21390423291726438
400;6.469924;400;94.729454;400;63.42967;400;90.82308;400;350.9671;400;152.787872;400;-0.21545824433433897;400;-0.21402630695516836
410;6.48213148;410;94.59517;410;63.3686333;410;90.7742538;410;350.888031;410;152.897736;410;-0.21432401643328314;410;-0.21268349253822444
420;6.42109442;420;94.41206;420;63.3198051;420;90.7742538;420;350.7694;420;152.946564;420;-0.21243217425998559;420;-0.2121951963866085
430;6.29902029;430;94.33881;430;63.3075943;430;90.63998;430;350.7694;430;153.04422;430;-0.21280790968331786;430;-0.2104861598559527
440;6.25019073;440;94.21674;440;63.18552;440;90.50569;440;350.80896;440;152.8367;440;-0.21403076719024505;440;-0.21018097476119274
450;6.15253162;450;94.10687;450;63.209938;450;90.43245;450;350.7299;450;152.897736;450;-0.2128792259706013;450;-0.20920438245796086
460;6.103702;460;94.04584;460;63.136692;460;90.3592;460;350.611267;460;152.897736;460;-0.21101023019171603;460;-0.20871608630634472
470;5.96942043;470;93.9359741;470;63.0878639;470;90.2981644;470;350.5322;470;152.995392;470;-0.20981876752396914;470;-0.20773949400311284
480;5.78630924;480;93.89935;480;63.0146179;480;90.20051;480;350.611267;480;152.995392;480;-0.2116905358257149;480;-0.20749534592730487
490;5.84734631;490;93.740654;490;62.8193;490;90.0296;490;350.492676;490;153.04422;490;-0.20972325530224667;490;-0.20621356852931302
500;5.7618947;500;93.740654;500;62.7460556;500;90.017395;500;350.4136;500;153.04422;500;-0.20857982715490522;500;-0.20462660603656113
510;5.652028;510;93.4843;510;62.6483955;510;89.8220749;510;350.374054;510;153.0198;510;-0.2080800776882378;510;-0.20529801324503313
