Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\JibFricRetake.csv;
Starttime of export;134227056435130000;fredag 8. mai 2026;11:20:43.513
Endtime of export;134227057266530000;fredag 8. mai 2026;11:22:06.653


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar

0;399.211456;0;399.881378;0;-0.7857747;0;-0.003937458642292932;0;0;0;0;0;152.128662;0;55.20188;0;55.1896744;0;57.0451965;0;70.49776
10;399.211456;10;399.919983;10;-0.7857747;10;-0.003937458642292932;10;0;10;0;10;152.238525;10;55.20188;10;55.25071;10;57.0696144;10;70.47334
20;399.211456;20;399.881378;20;-0.7857747;20;-0.003937458642292932;20;0;20;0;20;152.311783;20;55.1896744;20;55.3239555;20;57.1550636;20;70.44893
30;399.211456;30;399.881378;30;-0.7857747;30;-0.003937458642292932;30;0;30;0;30;152.275162;30;55.20188;30;55.2995377;30;57.19169;30;70.4611359
40;399.211456;40;399.881378;40;-0.7857747;40;-0.003937458642292932;40;0;40;0;40;152.262955;40;55.2629166;40;55.2262955;40;57.13065;40;70.49776
50;399.211456;50;399.881378;50;-0.7857747;50;-0.003937458642292932;50;0;50;0;50;152.153076;50;55.25071;50;55.2629166;50;57.1184425;50;70.48555
60;399.211456;60;399.919983;60;-0.7857747;60;-0.003937458642292932;60;0;60;0;60;152.250748;60;55.15305;60;55.28733;60;57.08182;60;70.37569
70;399.211456;70;399.919983;70;-0.7857747;70;-0.003937458642292932;70;0;70;0;70;152.32399;70;55.15305;70;55.25071;70;57.03299;70;70.38789
80;399.211456;80;399.958618;80;-0.7857747;80;-0.003937458642292932;80;0;80;0;80;152.3362;80;55.2385025;80;55.28733;80;57.1184425;80;70.44893
90;399.211456;90;399.919983;90;-0.7857747;90;-0.003937458642292932;90;0;90;0;90;152.262955;90;55.2629166;90;55.2995377;90;57.08182;90;70.43672
100;399.211456;100;399.919983;100;-0.7857747;100;-0.003937458642292932;100;0;100;0;100;152.116455;100;55.28733;100;55.28733;100;56.99637;100;70.351265
110;399.211456;110;399.881378;110;-0.7857747;110;-0.003937458642292932;110;0;110;0;110;152.128662;110;55.2629166;110;55.25071;110;57.0207825;110;70.41231
120;399.211456;120;399.881378;120;-0.7857747;120;-0.003937458642292932;120;0;120;0;120;152.226318;120;55.2262955;120;55.2629166;120;57.19169;120;70.43672
130;399.211456;130;399.881378;130;-0.7857747;130;-0.003937458642292932;130;0;130;0;130;152.153076;130;55.2262955;130;55.2995377;130;57.2161026;130;70.351265
140;399.211456;140;399.881378;140;-0.7857747;140;-0.003937458642292932;140;0;140;0;140;152.165283;140;55.2751236;140;55.2751236;140;57.0085754;140;70.4001
150;399.211456;150;399.919983;150;-0.7857747;150;-0.003937458642292932;150;0;150;0;150;152.214111;150;55.2385025;150;55.20188;150;56.8620872;150;70.47334
160;399.211456;160;399.919983;160;-0.7857747;160;-0.003937458642292932;160;0;160;0;160;152.153076;160;55.1774635;160;55.3117447;160;56.93533;160;70.4001
170;399.211456;170;399.958618;170;-0.7857747;170;-0.003937458642292932;170;0;170;0;170;152.153076;170;55.2385025;170;55.28733;170;57.08182;170;70.43672
