Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard1.csv;
Starttime of export;134226189112130000;torsdag 7. mai 2026;11:15:11.213
Endtime of export;134226190135530000;torsdag 7. mai 2026;11:16:53.553


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar

0;0;0;363.807556;0;0;0;0;0;0;0;0;0;0.439466536;0;52.44301;0;52.4918365;0;49.0249329;0;53.50505
10;0;10;363.807556;10;0;10;0;10;0;10;0;10;0.427259147;10;52.4063835;10;52.4918365;10;48.9761047;10;53.40739
20;0;20;363.807556;20;0;20;0;20;0;20;0;20;0.415051728;20;52.4918365;20;52.3575554;20;49.0127258;20;53.3585625
30;0;30;363.846283;30;0;30;0;30;0;30;0;30;0.390636921;30;52.41859;30;52.3697624;30;49.0127258;30;53.4318047
40;0;40;363.846283;40;0;40;0;40;0;40;0;40;0.3418073;40;52.3209343;40;52.47963;40;48.9761047;40;53.4440155
50;0;50;363.807556;50;0;50;0;50;0;50;0;50;0.3173925;50;52.3209343;50;52.51625;50;49.0493469;50;53.4440155
60;0;60;363.807556;60;0;60;0;60;0;60;0;60;0.3173925;60;52.3697624;60;52.4552155;60;49.0737648;60;53.46843
70;0;70;363.846283;70;0;70;0;70;0;70;0;70;0.3418073;70;52.3941765;70;52.4552155;70;49.0249329;70;53.4195976
80;0;80;363.846283;80;0;80;0;80;0;80;0;80;0.3051851;80;52.34535;80;52.4918365;80;49.0493469;80;53.3829765
90;0;90;363.846283;90;0;90;0;90;0;90;0;90;0.2929777;90;52.33314;90;52.4063835;90;48.9761047;90;53.40739
100;0;100;363.807556;100;0;100;0;100;0;100;0;100;0.2929777;100;52.3941765;100;52.4063835;100;48.9394836;100;53.4440155
110;0;110;363.76886;110;0;110;0;110;0;110;0;110;0.2807703;110;52.3697624;110;52.4918365;110;49.03714;110;53.3585625
120;0;120;363.807556;120;0;120;0;120;0;120;0;120;0.3173925;120;52.23548;120;52.4674225;120;49.0249329;120;53.32194
130;0;130;363.846283;130;0;130;0;130;0;130;0;130;0.3051851;130;52.28431;130;52.47963;130;49.0127258;130;53.4195976
140;0;140;363.807556;140;0;140;0;140;0;140;0;140;0.2929777;140;52.3941765;140;52.51625;140;49.1348;140;53.3829765
150;0;150;363.846283;150;0;150;0;150;0;150;0;150;0.40284434;150;52.3697624;150;52.47963;150;49.147007;150;53.33415
160;0;160;363.846283;160;0;160;0;160;0;160;0;160;0.427259147;160;52.4552155;160;52.4674225;160;49.09818;160;53.37077
170;0;170;363.807556;170;0;170;0;170;0;170;0;170;0.378429532;170;52.4918365;170;52.51625;170;49.061554;170;53.33415
180;0;180;363.76886;180;0;180;0;180;0;180;0;180;0.378429532;180;52.4307976;180;52.51625;180;49.0493469;180;53.33415
190;0;190;363.807556;190;0;190;0;190;0;190;0;190;0.378429532;190;52.33314;190;52.47963;190;49.03714;190;53.4195976
200;0;200;363.807556;200;0;200;0;200;0;200;0;200;0.3418073;200;52.23548;200;52.3941765;200;48.8662376;200;53.40739
210;0;210;363.807556;210;0;210;0;210;0;210;0;210;0.354014724;210;52.34535;210;52.38197;210;48.95169;210;53.3829765
220;0;220;363.846283;220;0;220;0;220;0;220;0;220;0.390636921;220;52.4918365;220;52.4918365;220;49.0737648;220;53.4440155
230;0;230;363.807556;230;0;230;0;230;0;230;0;230;0.378429532;230;52.47963;230;52.4918365;230;49.0127258;230;53.4562225
240;0;240;363.76886;240;0;240;0;240;0;240;0;240;0.329599917;240;52.4552155;240;52.4063835;240;49.0249329;240;53.4440155
250;0;250;363.846283;250;0;250;0;250;0;250;0;250;0.3418073;250;52.44301;250;52.4552155;250;48.98831;250;53.4562225
260;0;260;363.846283;260;0;260;0;260;0;260;0;260;0.354014724;260;52.4552155;260;52.4552155;260;48.9638977;260;53.4562225
270;0;270;363.807556;270;0;270;0;270;0;270;0;270;0.2929777;270;52.4063835;270;52.4674225;270;49.03714;270;53.4806366
280;0;280;363.807556;280;0;280;0;280;0;280;0;280;0.3418073;280;52.3209343;280;52.4063835;280;49.0737648;280;53.50505
290;0;290;363.807556;290;0;290;0;290;0;290;0;290;0.40284434;290;52.3575554;290;52.3941765;290;49.09818;290;53.37077
300;0;300;363.76886;300;0;300;0;300;0;300;0;300;0.390636921;300;52.34535;300;52.5650826;300;49.0737648;300;53.33415
310;0;310;363.76886;310;0;310;0;310;0;310;0;310;0.3418073;310;52.3087234;310;52.4918365;310;49.061554;310;53.4440155
320;0;320;363.807556;320;0;320;0;320;0;320;0;320;0.3173925;320;52.34535;320;52.41859;320;49.0493469;320;53.4195976
330;0;330;363.807556;330;0;330;0;330;0;330;0;330;0.354014724;330;52.3697624;330;52.51625;330;49.1103859;330;53.3829765
340;0;340;363.807556;340;0;340;0;340;0;340;0;340;0.3051851;340;52.3209343;340;52.55287;340;49.1225929;340;53.2853165
350;0;350;363.846283;350;0;350;0;350;0;350;0;350;0.3418073;350;52.3209343;350;52.5040436;350;49.0737648;350;53.2975235
