Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard2.csv;
Starttime of export;134226361040610000;torsdag 7. mai 2026;16:01:44.061
Endtime of export;134226362083010000;torsdag 7. mai 2026;16:03:28.301


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar

0;0;0;299.444733;0;0;0;0;0;0;0;0;0;0.3051851;0;61.1102638;0;49.09818;0;64.38185;0;78.88425
10;0;10;299.444733;10;0;10;0;10;0;10;0;10;0.354014724;10;61.1590919;10;49.03714;10;64.25977;10;78.87203
20;0;20;299.405884;20;0;20;0;20;0;20;0;20;0.3418073;20;61.1957169;20;49.061554;20;64.25977;20;78.8964539
30;0;30;299.444733;30;0;30;0;30;0;30;0;30;0.3173925;30;61.26896;30;49.08597;30;64.2109451;30;78.83541
40;0;40;299.444733;40;0;40;0;40;0;40;0;40;0.329599917;40;61.1102638;40;49.061554;40;64.2109451;40;78.88425
50;0;50;299.405884;50;0;50;0;50;0;50;0;50;0.3418073;50;61.02481;50;49.1103859;50;64.3086;50;78.88425
60;0;60;299.405884;60;0;60;0;60;0;60;0;60;0.3173925;60;61.1713;60;49.1348;60;64.2109451;60;78.74996
70;0;70;299.444733;70;0;70;0;70;0;70;0;70;0.2929777;70;61.183506;70;49.1348;70;64.27198;70;78.83541
80;0;80;299.444733;80;0;80;0;80;0;80;0;80;0.3418073;80;61.1102638;80;49.1836281;80;64.45509;80;78.90866
90;0;90;299.405884;90;0;90;0;90;0;90;0;90;0.354014724;90;61.02481;90;49.1348;90;64.36964;90;78.83541
100;0;100;299.405884;100;0;100;0;100;0;100;0;100;0.3418073;100;61.0736427;100;49.061554;100;64.44289;100;78.92087
110;0;110;299.444733;110;0;110;0;110;0;110;0;110;0.354014724;110;61.0980568;110;49.0737648;110;64.51613;110;78.8964539
120;0;120;299.444733;120;0;120;0;120;0;120;0;120;0.378429532;120;60.98819;120;49.03714;120;64.34522;120;78.74996
130;0;130;299.444733;130;0;130;0;130;0;130;0;130;0.329599917;130;61.0370178;130;49.09818;130;64.35743;130;78.823204
140;0;140;299.444733;140;0;140;0;140;0;140;0;140;0.2807703;140;61.1468849;140;49.17142;140;64.3086;140;78.8598251
150;0;150;299.483582;150;0;150;0;150;0;150;0;150;0.2563555;150;61.0980568;150;49.147007;150;64.2963943;150;78.823204
160;0;160;299.483582;160;0;160;0;160;0;160;0;160;0.2807703;160;61.1468849;160;49.23246;160;64.32081;160;78.87203
170;0;170;299.483582;170;0;170;0;170;0;170;0;170;0.329599917;170;61.2079239;170;49.208046;170;64.25977;170;78.90866
180;0;180;299.483582;180;0;180;0;180;0;180;0;180;0.329599917;180;61.12247;180;49.147007;180;64.19874;180;78.87203
190;0;190;299.405884;190;0;190;0;190;0;190;0;190;0.3051851;190;61.0370178;190;49.09818;190;64.25977;190;78.88425
200;0;200;299.444733;200;0;200;0;200;0;200;0;200;0.3173925;200;61.06143;200;49.09818;200;64.27198;200;78.92087
210;0;210;299.444733;210;0;210;0;210;0;210;0;210;0.2807703;210;61.1713;210;49.159214;210;64.3086;210;78.87203
220;0;220;299.405884;220;0;220;0;220;0;220;0;220;0.3051851;220;61.2811661;220;49.17142;220;64.25977;220;78.811
230;0;230;299.405884;230;0;230;0;230;0;230;0;230;0.378429532;230;61.26896;230;49.159214;230;64.1254959;230;78.8964539
240;0;240;299.405884;240;0;240;0;240;0;240;0;240;0.354014724;240;61.1590919;240;49.09818;240;64.22315;240;79.00632
250;0;250;299.444733;250;0;250;0;250;0;250;0;250;0.3418073;250;61.0980568;250;49.1103859;250;64.34522;250;78.95749
260;0;260;299.405884;260;0;260;0;260;0;260;0;260;0.3418073;260;61.1957169;260;49.1348;260;64.38185;260;78.68893
270;0;270;299.405884;270;0;270;0;270;0;270;0;270;0.3051851;270;61.232338;270;49.08597;270;64.34522;270;78.66451
280;0;280;299.367065;280;0;280;0;280;0;280;0;280;0.2807703;280;61.1713;280;49.17142;280;64.3086;280;78.92087
290;0;290;299.405884;290;0;290;0;290;0;290;0;290;0.3173925;290;61.1957169;290;49.1103859;290;64.28419;290;78.9819
300;0;300;299.444733;300;0;300;0;300;0;300;0;300;0.40284434;300;61.12247;300;49.1836281;300;64.38185;300;78.88425
310;0;310;299.483582;310;0;310;0;310;0;310;0;310;0.378429532;310;61.02481;310;49.26908;310;64.34522;310;78.90866
320;0;320;299.444733;320;0;320;0;320;0;320;0;320;0.3418073;320;61.183506;320;49.1348;320;64.19874;320;78.9819
330;0;330;299.367065;330;0;330;0;330;0;330;0;330;0.3418073;330;61.244545;330;49.26908;330;64.18653;330;78.92087
340;0;340;299.367065;340;0;340;0;340;0;340;0;340;0.3418073;340;61.08585;340;49.33012;340;64.28419;340;78.8964539
350;0;350;299.444733;350;0;350;0;350;0;350;0;350;0.390636921;350;61.02481;350;49.28129;350;64.34522;350;78.8598251
360;0;360;299.405884;360;0;360;0;360;0;360;0;360;0.378429532;360;61.1590919;360;49.23246;360;64.27198;360;78.92087
370;0;370;299.405884;370;0;370;0;370;0;370;0;370;0.329599917;370;61.12247;370;49.1103859;370;64.25977;370;78.95749
380;0;380;299.405884;380;0;380;0;380;0;380;0;380;0.3418073;380;61.0736427;380;49.159214;380;64.19874;380;78.933075
390;0;390;299.405884;390;0;390;0;390;0;390;0;390;0.354014724;390;61.1713;390;49.208046;390;64.25977;390;78.933075
400;0;400;299.444733;400;0;400;0;400;0;400;0;400;0.329599917;400;61.0980568;400;49.2568741;400;64.28419;400;78.90866
410;0;410;299.405884;410;0;410;0;410;0;410;0;410;0.378429532;410;61.1102638;410;49.28129;410;64.27198;410;78.8964539
420;0;420;299.405884;420;0;420;0;420;0;420;0;420;0.354014724;420;61.1102638;420;49.2568741;420;64.32081;420;78.88425
430;0;430;299.444733;430;0;430;0;430;0;430;0;430;0.3173925;430;61.08585;430;49.159214;430;64.3086;430;78.95749
440;0;440;299.483582;440;0;440;0;440;0;440;0;440;0.390636921;440;61.0980568;440;49.159214;440;64.19874;440;79.0185242
450;0;450;299.483582;450;0;450;0;450;0;450;0;450;0.390636921;450;61.183506;450;49.3057022;450;64.19874;450;78.90866
460;0;460;299.444733;460;0;460;0;460;0;460;0;460;0.2929777;460;61.1713;460;49.3423271;460;64.2963943;460;78.8964539
470;0;470;299.483582;470;0;470;0;470;0;470;0;470;0.2807703;470;61.1957169;470;49.3423271;470;64.27198;470;78.95749
480;0;480;299.444733;480;0;480;0;480;0;480;0;480;0.3418073;480;61.26896;480;49.3911552;480;64.28419;480;78.90866
490;0;490;299.405884;490;0;490;0;490;0;490;0;490;0.390636921;490;61.1713;490;49.3423271;490;64.22315;490;78.92087
500;0;500;299.444733;500;0;500;0;500;0;500;0;500;0.354014724;500;61.0370178;500;49.208046;500;64.2109451;500;78.79879
510;0;510;299.483582;510;0;510;0;510;0;510;0;510;0.329599917;510;61.0003967;510;49.159214;510;64.28419;510;78.8964539
520;0;520;299.444733;520;0;520;0;520;0;520;0;520;0.378429532;520;61.02481;520;49.28129;520;64.28419;520;78.95749
530;0;530;299.444733;530;0;530;0;530;0;530;0;530;0.3418073;530;61.0736427;530;49.2934952;530;64.35743;530;78.8964539
540;0;540;299.444733;540;0;540;0;540;0;540;0;540;0.2807703;540;61.1468849;540;49.2568741;540;64.25977;540;78.8964539
550;0;550;299.405884;550;0;550;0;550;0;550;0;550;0.2929777;550;61.1713;550;49.23246;550;64.18653;550;78.8964539
560;0;560;299.405884;560;0;560;0;560;0;560;0;560;0.329599917;560;61.2079239;560;49.19584;560;64.36964;560;78.88425
570;0;570;299.444733;570;0;570;0;570;0;570;0;570;0.329599917;570;61.1957169;570;49.2568741;570;64.38185;570;78.823204
580;0;580;299.405884;580;0;580;0;580;0;580;0;580;0.329599917;580;61.12247;580;49.2446671;580;64.2963943;580;78.8964539
590;0;590;299.367065;590;0;590;0;590;0;590;0;590;0.378429532;590;61.0736427;590;49.33012;590;64.3086;590;78.92087
600;0;600;299.405884;600;0;600;0;600;0;600;0;600;0.390636921;600;61.1590919;600;49.3423271;600;64.32081;600;78.88425
610;0;610;299.444733;610;0;610;0;610;0;610;0;610;0.354014724;610;61.1713;610;49.23246;610;64.32081;610;78.95749
620;0;620;299.444733;620;0;620;0;620;0;620;0;620;0.354014724;620;60.98819;620;49.33012;620;64.3086;620;78.92087
630;0;630;299.405884;630;0;630;0;630;0;630;0;630;0.3418073;630;61.02481;630;49.33012;630;64.28419;630;78.7743759
640;0;640;299.444733;640;0;640;0;640;0;640;0;640;0.3418073;640;61.1590919;640;49.26908;640;64.3086;640;78.79879
650;0;650;299.483582;650;0;650;0;650;0;650;0;650;0.3418073;650;61.12247;650;49.4277763;650;64.27198;650;78.8598251
660;0;660;299.483582;660;0;660;0;660;0;660;0;660;0.354014724;660;61.08585;660;49.5864754;660;64.2963943;660;78.92087
670;0;670;299.444733;670;0;670;0;670;0;670;0;670;0.329599917;670;61.1590919;670;49.54985;670;64.3086;670;78.92087
680;0;680;299.444733;680;0;680;0;680;0;680;0;680;0.2807703;680;61.256752;680;49.4521942;680;64.25977;680;78.811
690;0;690;299.483582;690;0;690;0;690;0;690;0;690;0.3051851;690;61.1957169;690;49.5010223;690;64.22315;690;78.78658
700;0;700;299.483582;700;0;700;0;700;0;700;0;700;0.3418073;700;61.08585;700;49.4399872;700;64.25977;700;78.79879
710;0;710;299.444733;710;0;710;0;710;0;710;0;710;0.3418073;710;61.1102638;710;49.3545341;710;64.32081;710;78.90866
720;0;720;299.405884;720;0;720;0;720;0;720;0;720;0.415051728;720;61.1102638;720;49.4033623;720;64.32081;720;79.0185242
730;0;730;299.444733;730;0;730;0;730;0;730;0;730;0.439466536;730;61.0370178;730;49.4888153;730;64.32081;730;79.0185242
740;0;740;299.444733;740;0;740;0;740;0;740;0;740;0.40284434;740;61.0736427;740;49.47661;740;64.2963943;740;78.8964539
750;0;750;299.405884;750;0;750;0;750;0;750;0;750;0.354014724;750;61.0980568;750;49.3545341;750;64.28419;750;78.8964539
760;0;760;299.405884;760;0;760;0;760;0;760;0;760;0.3173925;760;61.1468849;760;49.3545341;760;64.35743;760;78.88425
770;0;770;299.444733;770;0;770;0;770;0;770;0;770;0.329599917;770;61.256752;770;49.3057022;770;64.2963943;770;78.811
780;0;780;299.444733;780;0;780;0;780;0;780;0;780;0.40284434;780;61.2933731;780;49.2934952;780;64.18653;780;78.823204
790;0;790;299.405884;790;0;790;0;790;0;790;0;790;0.40284434;790;61.2079239;790;49.4033623;790;64.16212;790;78.8598251
800;0;800;299.444733;800;0;800;0;800;0;800;0;800;0.329599917;800;61.1102638;800;49.4888153;800;64.19874;800;78.90866
810;0;810;299.444733;810;0;810;0;810;0;810;0;810;0.3051851;810;61.0980568;810;49.4399872;810;64.34522;810;78.969696
820;0;820;299.444733;820;0;820;0;820;0;820;0;820;0.2807703;820;61.1468849;820;49.33012;820;64.35743;820;78.99411
830;0;830;299.444733;830;0;830;0;830;0;830;0;830;0.3173925;830;61.0370178;830;49.4033623;830;64.32081;830;79.00632
840;0;840;299.483582;840;0;840;0;840;0;840;0;840;0.40284434;840;61.0126038;840;49.5010223;840;64.3086;840;78.92087
850;0;850;299.483582;850;0;850;0;850;0;850;0;850;0.390636921;850;61.12247;850;49.4521942;850;64.32081;850;78.9819
860;0;860;299.444733;860;0;860;0;860;0;860;0;860;0.354014724;860;61.0980568;860;49.4399872;860;64.36964;860;79.07956
870;0;870;299.483582;870;0;870;0;870;0;870;0;870;0.354014724;870;61.0980568;870;49.4521942;870;64.3086;870;78.95749
880;0;880;299.483582;880;0;880;0;880;0;880;0;880;0.3051851;880;61.0736427;880;49.4399872;880;64.28419;880;78.87203
890;0;890;299.444733;890;0;890;0;890;0;890;0;890;0.40284434;890;61.12247;890;49.57427;890;64.32081;890;78.811
900;0;900;299.405884;900;0;900;0;900;0;900;0;900;0.439466536;900;61.1713;900;49.6963425;900;64.32081;900;78.7377548
910;0;910;299.405884;910;0;910;0;910;0;910;0;910;0.3418073;910;61.12247;910;49.5986824;910;64.35743;910;78.7743759
920;0;920;299.444733;920;0;920;0;920;0;920;0;920;0.3418073;920;61.1713;920;49.5864754;920;64.34522;920;78.88425
930;0;930;299.483582;930;0;930;0;930;0;930;0;930;0.3051851;930;61.12247;930;49.6719246;930;64.2963943;930;78.99411
940;0;940;299.483582;940;0;940;0;940;0;940;0;940;0.2807703;940;61.06143;940;49.5620575;940;64.34522;940;78.969696
950;0;950;299.483582;950;0;950;0;950;0;950;0;950;0.329599917;950;60.9759827;950;49.5254364;950;64.2963943;950;78.87203
960;0;960;299.444733;960;0;960;0;960;0;960;0;960;0.354014724;960;60.9149437;960;49.54985;960;64.24757;960;78.87203
970;0;970;299.405884;970;0;970;0;970;0;970;0;970;0.3418073;970;61.0370178;970;49.5376434;970;64.174324;970;78.87203
