Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar

0;-0.00082399975585190077;0;0;0;348.103943;0;0.0122074038;0;53.5905037;0;0.207525864;0;152.32399
10;-0.00088503677480389342;10;0;10;348.103943;10;0;10;53.5782967;10;0.170903653;10;152.3362
20;-0.00094607379375588607;20;0;20;348.142426;20;0;20;53.6881638;20;0.183111057;20;152.311783
30;-0.00094607379375588607;30;0;30;348.180878;30;0;30;53.60271;30;0.183111057;30;152.262955
40;-0.00082399975585190077;40;0;40;348.180878;40;0;40;53.60271;40;0.207525864;40;152.360611
50;-0.00088503677480389342;50;0;50;348.103943;50;0;50;53.65154;50;0.207525864;50;152.360611
60;-0.00057985168004393017;60;0;60;348.103943;60;0;60;53.65154;60;0.207525864;60;152.262955
70;-0.00082399975585190077;70;0;70;348.142426;70;0;70;53.6271248;70;0.219733268;70;152.32399
80;-0.00082399975585190077;80;0;80;348.142426;80;0;80;53.6759529;80;0.207525864;80;152.372818
90;-0.00076296273689990812;90;0;90;348.103943;90;0;90;53.773613;90;0.183111057;90;152.397232
100;-0.00076296273689990812;100;0;100;348.142426;100;0;100;53.73699;100;0.207525864;100;152.250748
110;-0.00094607379375588607;110;0;110;348.180878;110;0;110;53.65154;110;0.231940672;110;152.238525
120;-0.0010071108127078787;120;0;120;348.103943;120;0;120;53.65154;120;0.207525864;120;152.360611
130;-0.00088503677480389342;130;0;130;348.06546;130;0;130;53.70037;130;0.183111057;130;152.397232
140;-0.00088503677480389342;140;0;140;348.06546;140;0;140;53.6881638;140;0.207525864;140;152.360611
150;-0.00094607379375588607;150;0;150;348.103943;150;0;150;53.65154;150;0.219733268;150;152.32399
160;-0.0010071108127078787;160;0;160;348.06546;160;0.0122074038;160;53.60271;160;0.219733268;160;152.360611
170;-0.00076296273689990812;170;0;170;348.103943;170;0;170;53.60271;170;0.219733268;170;152.421646
180;-0.00076296273689990812;180;0;180;348.142426;180;0;180;53.6759529;180;0.231940672;180;152.3484
190;-0.00070192571794791547;190;0;190;348.06546;190;0;190;53.773613;190;0.183111057;190;152.3484
200;-0.00088503677480389342;200;0;200;348.103943;200;0.0122074038;200;53.7125778;200;0.146488845;200;152.275162
210;-0.0010681478316598714;210;0;210;348.180878;210;0.0122074038;210;53.7125778;210;0.158696249;210;152.226318
220;-0.00094607379375588607;220;0;220;348.180878;220;0;220;53.6759529;220;0.183111057;220;152.3484
230;-0.00088503677480389342;230;0;230;348.06546;230;0;230;53.6759529;230;0.219733268;230;152.3484
240;-0.00088503677480389342;240;0;240;347.988525;240;0.0122074038;240;53.7614059;240;0.231940672;240;152.3484
250;-0.00094607379375588607;250;0;250;348.103943;250;0;250;53.6881638;250;0.207525864;250;152.372818
260;-0.00082399975585190077;260;0;260;348.103943;260;0;260;53.6271248;260;0.183111057;260;152.397232
270;-0.00088503677480389342;270;0;270;348.103943;270;0;270;53.6271248;270;0.183111057;270;152.421646
280;-0.00070192571794791547;280;0;280;348.103943;280;0;280;53.6271248;280;0.183111057;280;152.433853
290;-0.00057985168004393017;290;0;290;348.103943;290;0;290;53.60271;290;0.183111057;290;152.5071
300;-0.00070192571794791547;300;0;300;348.06546;300;0.0122074038;300;53.6271248;300;0.207525864;300;152.543716
310;-0.00076296273689990812;310;0;310;348.06546;310;0;310;53.6271248;310;0.207525864;310;152.433853
320;-0.00082399975585190077;320;0;320;348.06546;320;0.0122074038;320;53.5172577;320;0.219733268;320;152.360611
330;-0.00070192571794791547;330;0;330;348.142426;330;0;330;53.5294647;330;0.207525864;330;152.360611
340;-0.00076296273689990812;340;0;340;348.142426;340;0;340;53.6637459;340;0.183111057;340;152.311783
350;-0.00082399975585190077;350;0;350;348.142426;350;0;350;53.70037;350;0.207525864;350;152.421646
360;-0.00088503677480389342;360;0;360;348.142426;360;0;360;53.73699;360;0.231940672;360;152.372818
370;-0.00076296273689990812;370;0;370;348.103943;370;0;370;53.7492;370;0.219733268;370;152.32399
380;-0.00082399975585190077;380;0;380;348.103943;380;0;380;53.6149178;380;0.183111057;380;152.360611
390;-0.00070192571794791547;390;0;390;348.103943;390;0.0244148076;390;53.65154;390;0.219733268;390;152.3362
400;-0.00076296273689990812;400;0;400;348.142426;400;0.0122074038;400;53.6881638;400;0.207525864;400;152.397232
410;-0.00082399975585190077;410;0;410;348.103943;410;0;410;53.6271248;410;0.170903653;410;152.421646
420;-0.00088503677480389342;420;0;420;348.103943;420;0;420;53.65154;420;0.183111057;420;152.311783
430;-0.0010681478316598714;430;0;430;348.06546;430;0;430;53.6759529;430;0.207525864;430;152.250748
440;-0.0010071108127078787;440;0;440;348.142426;440;0;440;53.6637459;440;0.219733268;440;152.238525
450;-0.00088503677480389342;450;0;450;348.142426;450;0;450;53.54167;450;0.219733268;450;152.262955
460;-0.00076296273689990812;460;0;460;348.142426;460;0.0122074038;460;53.50505;460;0.207525864;460;152.409439
470;-0.00094607379375588607;470;0;470;348.103943;470;0;470;53.60271;470;0.158696249;470;152.397232
480;-0.00082399975585190077;480;0;480;348.06546;480;0;480;53.70037;480;0.158696249;480;152.372818
490;-0.00082399975585190077;490;0;490;347.988525;490;0.0244148076;490;53.60271;490;0.183111057;490;152.3484
500;-0.00082399975585190077;500;0;500;348.06546;500;0.0122074038;500;53.56609;500;0.183111057;500;152.311783
510;-0.00082399975585190077;510;0;510;348.06546;510;0.0122074038;510;53.73699;510;0.170903653;510;152.32399
520;-0.00088503677480389342;520;0;520;348.06546;520;0.0122074038;520;53.7125778;520;0.170903653;520;152.360611
530;-0.00088503677480389342;530;0;530;348.142426;530;0.0244148076;530;53.7125778;530;0.170903653;530;152.397232
540;-0.0010071108127078787;540;0;540;348.06546;540;0.03662221;540;53.6637459;540;0.183111057;540;152.421646
550;-0.00088503677480389342;550;0;550;348.06546;550;0.0244148076;550;53.56609;550;0.207525864;550;152.5193
560;-0.0010071108127078787;560;0;560;348.103943;560;0;560;53.5905037;560;0.183111057;560;152.494888
570;-0.00082399975585190077;570;0;570;348.103943;570;0.0122074038;570;53.60271;570;0.183111057;570;152.433853
580;-0.00088503677480389342;580;0;580;348.142426;580;0.0122074038;580;53.7492;580;0.207525864;580;152.397232
590;-0.00094607379375588607;590;0;590;348.180878;590;0;590;53.7492;590;0.170903653;590;152.3484
600;-0.00088503677480389342;600;0;600;348.180878;600;0.0122074038;600;53.5294647;600;0.170903653;600;152.409439
610;-0.00082399975585190077;610;0;610;348.21936;610;0.0122074038;610;53.4318047;610;0.207525864;610;152.3362
620;-0.00094607379375588607;620;0;620;348.180878;620;0;620;53.56609;620;0.219733268;620;152.238525
630;-0.00094607379375588607;630;0;630;348.103943;630;0;630;53.6637459;630;0.2563555;630;152.311783
640;-0.00082399975585190077;640;0;640;348.142426;640;0;640;53.70037;640;0.231940672;640;152.397232
650;-0.0010681478316598714;650;0;650;348.103943;650;0;650;53.78582;650;0.183111057;650;152.421646
660;-0.00088503677480389342;660;0;660;348.103943;660;0;660;53.6149178;660;0.219733268;660;152.421646
670;-0.00088503677480389342;670;0;670;348.142426;670;0;670;53.6271248;670;0.207525864;670;152.3362
680;-0.00088503677480389342;680;0;680;348.103943;680;0;680;53.78582;680;0.158696249;680;152.360611
690;-0.00082399975585190077;690;0;690;348.06546;690;0;690;53.7125778;690;0.158696249;690;152.32399
700;-0.00088503677480389342;700;0;700;348.142426;700;0;700;53.6637459;700;0.170903653;700;152.3362
710;-0.00088503677480389342;710;0;710;348.142426;710;0;710;53.5782967;710;0.231940672;710;152.421646
