Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\MainFrictionRetake.csv;
Starttime of export;134227052015630000;fredag 8. mai 2026;11:13:21.563
Endtime of export;134227052853030000;fredag 8. mai 2026;11:14:45.303


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar

0;0;0;300.014252;0;0;0;0;0;0;0;0;0;151.432846;0;0;0;0.170903653;0;56.0563965;0;0
10;0;10;300.014252;10;0;10;0;10;0;10;0;10;151.322983;10;0;10;0.158696249;10;56.1296425;10;0
20;0;20;299.975769;20;0;20;0;20;0;20;0;20;151.420639;20;0;20;0.170903653;20;56.14185;20;0
30;0;30;299.937317;30;0;30;0;30;0;30;0;30;151.469467;30;0;30;0.170903653;30;56.1540565;30;0
40;0;40;299.975769;40;0;40;0;40;0;40;0;40;151.445053;40;0;40;0.183111057;40;56.0563965;40;0
50;0;50;300.014252;50;0;50;0;50;0;50;0;50;151.432846;50;0.0244148076;50;0.207525864;50;55.9831543;50;0
60;0;60;299.975769;60;0;60;0;60;0;60;0;60;151.384018;60;0.0244148076;60;0.183111057;60;56.0319824;60;0
70;0;70;300.014252;70;0;70;0;70;0;70;0;70;151.481674;70;0;70;0.183111057;70;56.0197754;70;0
80;0;80;300.014252;80;0;80;0;80;0;80;0;80;151.469467;80;0;80;0.183111057;80;56.0319824;80;0
90;0;90;300.014252;90;0;90;0;90;0;90;0;90;151.420639;90;0;90;0.183111057;90;56.10523;90;0
100;0;100;299.975769;100;0;100;0;100;0;100;0;100;151.445053;100;0.0122074038;100;0.219733268;100;56.23951;100;0
110;0;110;299.975769;110;0;110;0;110;0;110;0;110;151.506088;110;0.0244148076;110;0.219733268;110;56.19068;110;0
120;0;120;299.937317;120;0;120;0;120;0;120;0;120;151.481674;120;0;120;0.183111057;120;56.14185;120;0
130;0;130;299.937317;130;0;130;0;130;0;130;0;130;151.5183;130;0;130;0.170903653;130;56.1540565;130;0
140;0;140;299.975769;140;0;140;0;140;0;140;0;140;151.603745;140;0;140;0.170903653;140;56.1540565;140;0
150;0;150;299.975769;150;0;150;0;150;0;150;0;150;151.481674;150;0;150;0.170903653;150;56.19068;150;0
160;0;160;300.052734;160;0;160;0;160;0;160;0;160;151.396225;160;0;160;0.170903653;160;56.1662636;160;0
170;0;170;300.014252;170;0;170;0;170;0;170;0;170;151.469467;170;0;170;0.158696249;170;56.09302;170;0
180;0;180;299.975769;180;0;180;0;180;0;180;0;180;151.493881;180;0;180;0.183111057;180;56.09302;180;0
190;0;190;299.975769;190;0;190;0;190;0;190;0;190;151.408432;190;0;190;0.170903653;190;56.2883377;190;0
200;0;200;299.975769;200;0;200;0;200;0;200;0;200;151.469467;200;0;200;0.170903653;200;56.20289;200;0
210;0;210;299.937317;210;0;210;0;210;0;210;0;210;151.445053;210;0;210;0.170903653;210;56.0563965;210;0
