Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MainHard1.csv;
Starttime of export;134226208972630000;torsdag 7. mai 2026;11:48:17.263
Endtime of export;134226210017030000;torsdag 7. mai 2026;11:50:01.703


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar

0;156.0188;0;299.437164;0;3.134037;0;0.01073457201525492;0;0;0;0;0;151.872314;0;0;0;0.183111057;0;56.20289;0;0
10;156.0188;10;299.437164;10;3.134037;10;0.01073457201525492;10;0;10;0;10;151.945557;10;0;10;0.207525864;10;56.09302;10;0
20;156.0188;20;299.437164;20;3.134037;20;0.01073457201525492;20;0;20;0;20;151.945557;20;0;20;0.219733268;20;56.19068;20;0
30;156.0188;30;299.437164;30;3.134037;30;0.01073457201525492;30;0;30;0;30;151.799072;30;0;30;0.207525864;30;56.3615837;30;0
40;156.0188;40;299.437164;40;3.134037;40;0.01073457201525492;40;0;40;0;40;151.811279;40;0;40;0.183111057;40;56.3005447;40;0
50;156.0188;50;299.3987;50;3.134037;50;0.01073457201525492;50;0;50;0;50;151.8601;50;0.0122074038;50;0.170903653;50;56.3005447;50;0
60;156.0188;60;299.3987;60;3.134037;60;0.01073457201525492;60;0;60;0;60;151.811279;60;0;60;0.183111057;60;56.27613;60;0
70;156.0188;70;299.437164;70;3.134037;70;0.01073457201525492;70;0;70;0;70;151.8601;70;0;70;0.207525864;70;56.2883377;70;0
80;156.0188;80;299.437164;80;3.134037;80;0.01073457201525492;80;0;80;0;80;151.884521;80;0;80;0.183111057;80;56.2883377;80;0
90;156.0188;90;299.3987;90;3.134037;90;0.01073457201525492;90;0;90;0;90;151.786865;90;0;90;0.183111057;90;56.1662636;90;0
100;156.0188;100;299.3987;100;3.134037;100;0.01073457201525492;100;0;100;0;100;151.8357;100;0;100;0.207525864;100;56.2150955;100;0
110;156.0188;110;299.437164;110;3.134037;110;0.01073457201525492;110;0;110;0;110;151.811279;110;0;110;0.207525864;110;56.2517166;110;0
120;156.0188;120;299.437164;120;3.134037;120;0.01073457201525492;120;0;120;0;120;151.799072;120;0;120;0.207525864;120;56.19068;120;0
130;156.0188;130;299.437164;130;3.134037;130;0.01073457201525492;130;0;130;0;130;151.872314;130;0;130;0.207525864;130;56.20289;130;0
140;156.0188;140;299.437164;140;3.134037;140;0.01073457201525492;140;0;140;0;140;151.8357;140;0;140;0.170903653;140;56.2883377;140;0
